Id,Source,Target,Weight
398,1,20,36
399,24,1,32
400,1,24,32
401,260,1,5
402,1,260,5
403,126,1,8
404,1,126,8
405,127,1,12
406,1,127,13
407,128,1,14
408,1,128,14
409,129,1,8
410,1,129,8
411,130,1,25
412,1,130,23
413,131,1,12
414,1,131,13
415,132,1,9
416,1,132,9
417,133,1,14
418,1,133,15
419,134,1,13
420,1,134,13
421,135,1,3
422,1,135,3
423,26,1,70
424,1,26,70
425,136,1,5
426,1,136,5
427,137,1,23
428,1,137,20
429,138,1,5
430,1,138,5
431,139,1,16
432,1,139,16
433,44,1,40
434,1,44,40
435,140,1,2
436,1,140,2
437,141,1,1
438,1,141,1
439,142,1,16
440,1,142,16
441,67,1,1
442,45,1,14
443,1,45,13
444,143,1,51
445,1,143,51
446,144,1,8
447,1,144,8
448,145,1,8
449,1,145,8
450,46,1,5
451,1,46,5
452,48,1,15
453,1,48,25
454,49,1,32
455,1,49,32
456,50,1,8
457,1,50,8
458,55,1,13
459,1,55,13
460,27,1,37
461,1,27,37
462,146,1,14
463,1,146,14
464,28,1,17
465,1,28,17
466,148,1,5
467,1,148,17
468,149,1,30
469,1,149,30
470,150,1,2
471,1,150,2
472,151,1,2
473,1,151,2
474,152,1,3
475,1,152,3
476,153,1,3
477,1,153,3
478,154,1,29
479,1,154,29
480,156,1,4
481,1,156,4
482,68,1,18
483,1,68,18
484,157,1,1
485,1,157,1
486,158,1,2
487,159,1,4
488,1,159,4
489,160,1,31
490,1,160,31
491,161,1,7
492,1,161,7
493,162,1,38
494,1,162,38
495,163,1,25
496,1,163,26
497,69,1,94
498,1,69,94
499,164,1,9
500,1,164,8
501,165,1,17
502,1,165,17
503,166,1,1
504,1,166,1
505,167,1,1
506,1,167,1
507,168,1,2
508,1,168,2
509,169,1,4
510,1,169,4
511,170,1,8
512,1,170,8
513,29,1,36
514,1,29,34
515,30,1,21
516,1,30,21
517,171,1,2
518,1,171,2
519,172,1,8
520,1,172,8
521,60,1,31
522,1,60,31
523,173,1,8
524,1,173,8
525,174,1,10
526,1,174,11
527,61,1,16
528,1,61,16
529,175,1,6
530,1,175,6
531,176,1,3
532,1,176,3
533,177,1,6
534,1,177,6
535,31,1,21
536,1,31,21
537,72,1,71
538,1,72,71
539,32,1,5
540,1,32,5
541,178,1,2
542,1,178,2
543,33,1,7
544,1,33,7
545,179,1,11
546,1,179,11
547,180,1,8
548,1,180,8
549,181,1,7
550,1,181,7
551,182,1,4
552,1,182,4
553,183,1,7
554,1,183,7
555,184,1,8
556,1,184,8
557,185,1,8
558,1,185,8
559,186,215,3
560,215,186,3
561,1,215,2
562,188,215,4
563,215,188,3
564,189,215,3
565,215,189,2
566,34,215,4
567,215,34,4
568,190,215,1
569,215,190,1
570,3,215,1
571,215,3,1
572,90,215,3
573,215,90,2
574,91,215,21
575,215,91,10
576,191,215,5
577,215,191,5
578,192,215,3
579,215,192,6
580,37,215,2
581,215,37,2
582,38,215,26
583,215,38,26
584,63,215,2
585,215,63,2
586,6,215,7
587,215,6,7
588,107,215,6
589,215,107,11
590,116,215,11
591,215,116,9
592,9,215,4
593,215,9,2
594,493,215,1
595,39,215,18
596,215,39,17
597,193,215,1
598,215,193,1
599,194,215,13
600,215,194,13
601,195,215,4
602,215,195,4
603,119,215,3
604,215,119,3
605,40,215,12
606,215,40,12
607,16,215,4
608,215,16,6
609,197,215,4
610,198,215,1
611,41,215,11
612,215,41,10
613,199,215,5
614,215,199,3
615,42,215,3
616,215,42,3
617,200,215,4
618,215,200,3
619,201,215,1
620,202,215,7
621,215,202,7
622,203,215,4
623,128,215,3
624,215,128,2
625,130,215,4
626,215,130,10
627,204,215,1
628,215,204,5
629,26,215,7
630,215,26,7
631,205,215,1
632,215,205,6
633,45,215,16
634,215,45,16
635,206,215,5
