,Source,Target,Weight
0,1,74,6
1,74,1,5
2,2,74,2
3,74,2,3
4,102,74,1
5,74,102,1
6,336,74,2
7,74,336,2
8,64,74,1
9,74,64,1
10,6,74,8
11,74,6,8
12,338,74,2
13,74,338,2
14,8,74,5
15,74,8,5
16,66,74,1
17,74,66,1
18,10,74,3
19,74,10,3
20,11,74,5
21,74,11,5
22,12,74,12
23,74,12,12
24,13,74,6
25,74,13,6
26,14,74,2
27,74,14,2
28,15,74,11
29,74,15,11
30,16,74,14
31,74,16,14
32,17,74,2
33,74,17,2
34,18,74,13
35,74,18,13
36,19,74,2
37,74,19,2
38,20,74,14
39,74,20,14
40,21,74,2
41,74,21,2
42,22,74,1
43,74,22,1
44,24,74,10
45,74,24,10
46,25,74,8
47,74,25,8
48,127,74,1
49,27,74,7
50,74,27,8
51,29,74,11
52,74,29,15
53,30,74,8
54,74,30,8
55,32,74,4
56,74,32,4
57,1,81,9
58,81,1,9
59,217,81,1
60,81,217,1
61,64,81,6
62,81,64,6
63,65,81,6
64,81,65,6
65,26,81,2
66,81,26,3
67,1,82,7
68,82,1,7
69,120,82,1
70,82,120,1
71,175,82,1
72,82,175,1
73,176,82,1
74,82,176,1
75,177,82,1
76,82,177,1
77,31,82,2
78,82,31,2
79,33,82,1
80,82,33,1
81,179,82,2
82,82,179,2
83,288,82,1
84,82,288,1
85,217,0,1
86,0,217,1
87,64,0,16
88,0,64,16
89,6,0,8
90,0,6,16
91,69,0,8
92,0,69,8
93,64,84,1
94,84,64,1
95,74,1,5
96,1,74,6
97,80,1,3
98,1,80,3
99,81,1,9
100,1,81,9
101,82,1,7
102,1,82,7
103,34,1,3
104,1,34,3
105,2,1,11
106,1,2,11
107,190,1,1
108,1,190,1
109,85,1,4
110,1,85,5
111,3,1,7
112,1,3,7
113,90,1,1
114,1,90,1
115,91,1,2
116,1,91,1
117,95,1,3
118,1,95,2
119,97,1,5
120,1,97,5
121,98,1,6
122,1,98,7
123,217,1,2
124,1,217,2
125,100,1,4
126,1,100,5
127,101,1,3
128,1,101,3
129,102,1,5
130,1,102,5
131,37,1,9
132,1,37,9
133,38,1,1
134,1,38,1
135,336,1,2
136,1,336,2
137,64,1,15
138,1,64,15
139,6,1,31
140,1,6,23
141,107,1,1
142,73,1,12
143,1,73,12
144,7,1,7
145,1,7,7
146,65,1,6
147,1,65,6
148,8,1,5
149,1,8,5
