,Source,Target,Weight
0,1,74,21
1,74,1,21
2,2,74,1
3,74,2,5
4,216,74,6
5,74,216,6
6,3,74,5
7,74,3,4
8,96,74,8
9,74,96,8
10,241,74,2
11,74,241,2
12,102,74,2
13,74,102,2
14,105,74,2
15,74,105,2
16,344,74,3
17,74,344,3
18,4,74,3
19,74,4,4
20,5,74,4
21,74,5,4
22,336,74,5
23,74,336,5
24,64,74,6
25,74,64,6
26,6,74,16
27,74,6,16
28,107,74,3
29,74,107,3
30,337,74,3
31,74,337,3
32,73,74,3
33,74,73,3
34,345,74,2
35,74,345,2
36,338,74,6
37,74,338,6
38,7,74,13
39,74,7,13
40,8,74,13
41,74,8,14
42,66,74,4
43,74,66,4
44,9,74,2
45,74,9,2
46,10,74,6
47,74,10,7
48,11,74,13
49,74,11,13
50,12,74,17
51,74,12,17
52,122,74,2
53,74,122,2
54,13,74,5
55,74,13,5
56,14,74,6
57,74,14,6
58,15,74,21
59,74,15,21
60,16,74,28
61,74,16,28
62,17,74,3
63,74,17,3
64,308,74,3
65,74,308,3
66,18,74,17
67,74,18,17
68,19,74,6
69,74,19,6
70,20,74,26
71,74,20,27
72,21,74,8
73,74,21,8
74,22,74,5
75,74,22,5
76,24,74,5
77,74,24,5
78,25,74,13
79,74,25,13
80,127,74,4
81,339,74,2
82,74,339,2
83,137,74,2
84,74,137,2
85,395,74,2
86,74,395,2
87,138,74,1
88,74,138,1
89,366,74,5
90,74,366,5
91,387,74,1
92,74,387,1
93,343,74,1
94,74,343,1
95,44,74,11
96,74,44,10
97,271,74,2
98,74,271,3
99,272,74,3
100,74,272,4
101,27,74,14
102,74,27,13
103,149,74,5
104,74,149,5
105,154,74,3
106,74,154,3
107,330,74,3
108,74,330,3
109,318,74,3
110,74,318,3
111,162,74,5
112,74,162,5
113,69,74,5
114,74,69,5
115,170,74,3
116,74,170,3
117,286,74,1
118,74,286,2
119,29,74,11
120,74,29,13
121,30,74,9
122,74,30,9
123,60,74,3
124,74,60,3
125,212,74,2
126,74,212,2
127,61,74,5
128,74,61,5
129,175,74,1
130,347,74,3
131,74,347,3
132,31,74,4
133,74,31,4
134,72,74,13
135,74,72,13
136,32,74,22
137,74,32,22
138,33,74,6
139,74,33,6
140,1,81,20
141,81,1,20
142,990,81,1
143,81,990,1
144,217,81,1
145,81,217,1
146,64,81,5
147,81,64,5
148,6,81,29
149,81,6,30
150,7,81,30
151,81,7,30
152,66,81,2
153,81,66,2
154,71,81,2
155,81,71,2
156,583,81,1
157,81,583,1
158,26,81,6
159,81,26,6
160,44,81,1
161,81,44,1
162,68,81,2
163,81,68,2
164,162,81,1
165,69,81,3
166,81,69,2
167,170,81,2
168,81,170,2
169,213,81,1
170,1,82,22
171,82,1,23
172,96,82,1
173,101,82,1
174,82,101,1
175,6,82,24
176,82,6,24
177,7,82,1
178,111,82,1
179,66,82,3
180,82,66,3
181,112,82,1
182,82,112,1
183,70,82,1
184,82,70,1
185,71,82,1
186,82,71,1
187,115,82,1
188,82,115,1
189,12,82,1
190,82,12,1
191,123,82,1
192,82,123,1
193,25,82,1
194,26,82,2
195,82,26,2
196,68,82,2
197,82,68,2
198,175,82,1
199,82,175,1
200,176,82,1
201,82,176,1
202,466,82,1
203,31,82,3
204,82,31,3
205,179,82,2
206,82,179,2
207,84,83,1
208,1,83,14
209,83,1,15
210,990,83,1
211,83,990,1
212,486,83,1
213,5,83,6
214,83,5,6
215,345,83,1
216,583,83,1
217,83,583,1
218,217,0,2
219,0,217,2
220,64,0,5
221,0,64,5
222,6,0,20
223,0,6,20
224,109,0,1
225,0,109,1
226,66,0,2
227,0,66,2
228,71,0,2
229,0,71,2
230,68,0,2
231,0,68,2
232,170,0,2
233,0,170,2
234,359,84,1
235,95,84,1
236,84,95,1
237,97,84,1
238,84,97,1
239,217,84,2
240,84,217,2
241,102,84,1
242,445,84,1
243,84,445,1
244,105,84,1
245,84,105,1
246,991,84,1
247,84,991,1
248,5,84,6
249,84,5,6
250,64,84,16
251,84,64,15
252,6,84,28
253,84,6,27
254,73,84,8
255,84,73,8
256,110,84,1
257,441,84,1
258,84,441,1
259,75,84,1
260,84,75,1
261,66,84,5
262,84,66,5
263,554,84,1
264,84,554,1
265,70,84,1
266,84,70,1
267,71,84,2
268,84,71,2
269,256,84,1
270,84,256,1
271,123,84,1
272,84,123,1
273,77,84,3
274,84,77,4
275,26,84,2
276,84,26,3
277,272,84,4
278,84,272,3
279,27,84,3
280,84,27,3
281,156,84,1
282,68,84,9
283,84,68,9
284,160,84,2
285,84,160,2
286,69,84,2
287,84,69,1
288,170,84,2
289,84,170,2
290,29,84,8
291,84,29,8
292,61,84,3
293,84,61,3
294,175,84,1
295,84,175,1
296,31,84,1
297,84,31,1
298,33,84,5
299,84,33,5
300,179,84,1
301,84,179,1
302,74,1,21
303,1,74,21
304,293,1,2
305,1,293,2
306,80,1,10
307,1,80,10
308,81,1,20
309,1,81,20
310,82,1,23
311,1,82,22
312,83,1,15
313,1,83,14
314,84,1,2
315,2,1,54
316,1,2,53
317,216,1,7
318,1,216,7
319,190,1,4
320,1,190,4
321,853,1,3
322,1,853,3
323,85,1,16
324,1,85,16
325,86,1,4
326,1,86,4
327,87,1,5
328,1,87,5
329,3,1,26
330,1,3,26
331,88,1,10
332,1,88,10
333,231,1,6
334,1,231,6
335,89,1,5
336,1,89,6
337,91,1,1
338,1,91,1
339,92,1,15
340,1,92,15
341,295,1,2
342,1,295,3
343,93,1,20
344,1,93,20
345,237,1,14
346,1,237,13
347,94,1,21
348,1,94,21
349,95,1,24
350,1,95,24
351,239,1,4
352,1,239,4
353,603,1,1
354,96,1,27
355,1,96,26
356,241,1,3
357,1,241,3
358,97,1,32
359,1,97,32
360,98,1,15
361,1,98,15
362,217,1,5
363,1,217,5
364,99,1,3
365,1,99,3
366,100,1,4
367,1,100,5
368,101,1,13
369,1,101,13
370,102,1,14
371,1,102,14
372,445,1,1
373,1,445,1
374,36,1,8
375,1,36,8
376,103,1,2
377,1,103,2
378,104,1,3
379,1,104,3
380,105,1,16
381,1,105,17
382,344,1,6
383,1,344,6
384,37,1,62
385,1,37,63
386,4,1,5
387,1,4,5
388,363,1,2
389,1,363,2
390,38,1,1
391,1,38,1
392,409,1,5
393,1,409,5
394,5,1,33
395,1,5,33
396,336,1,7
397,1,336,7
398,64,1,49
399,1,64,49
400,6,1,89
