,Source,Target,Weight
0,1,74,14
1,74,1,14
2,2,74,4
3,74,2,7
4,216,74,1
5,74,216,1
6,102,74,4
7,74,102,4
8,5,74,1
9,336,74,4
10,74,336,4
11,64,74,1
12,74,64,1
13,6,74,13
14,74,6,12
15,107,74,1
16,74,107,1
17,73,74,1
18,74,73,1
19,345,74,1
20,74,345,1
21,338,74,2
22,74,338,2
23,7,74,2
24,74,7,2
25,8,74,6
26,74,8,6
27,66,74,1
28,74,66,1
29,40,74,3
30,74,40,3
31,10,74,6
32,74,10,6
33,11,74,6
34,74,11,6
35,12,74,12
36,74,12,12
37,13,74,3
38,74,13,3
39,14,74,1
40,74,14,1
41,15,74,19
42,74,15,19
43,16,74,23
44,74,16,23
45,17,74,2
46,74,17,2
47,18,74,17
48,74,18,17
49,19,74,2
50,74,19,2
51,309,74,2
52,74,309,2
53,20,74,16
54,74,20,16
55,21,74,2
56,74,21,2
57,22,74,4
58,74,22,4
59,24,74,11
60,74,24,11
61,25,74,15
62,74,25,15
63,199,74,1
64,127,74,5
65,137,74,1
66,74,137,1
67,49,74,1
68,74,49,1
69,27,74,10
70,74,27,9
71,330,74,2
72,74,330,2
73,318,74,2
74,74,318,2
75,69,74,1
76,74,69,1
77,29,74,12
78,74,29,13
79,30,74,8
80,74,30,8
81,60,74,3
82,74,60,3
83,61,74,8
84,74,61,8
85,72,74,3
86,74,72,3
87,32,74,6
88,74,32,6
89,1,81,12
90,81,1,12
91,64,81,2
92,81,64,2
93,1,82,6
94,82,1,6
95,74,1,14
96,1,74,14
97,79,1,1
98,80,1,6
99,1,80,6
100,81,1,12
101,1,81,12
102,82,1,6
103,1,82,6
104,34,1,2
105,1,34,2
106,2,1,15
107,1,2,15
108,190,1,2
109,1,190,2
110,85,1,13
111,1,85,13
112,3,1,13
113,1,3,12
114,88,1,4
115,1,88,4
116,411,1,2
117,1,411,1
118,91,1,1
119,1,91,1
120,92,1,3
121,1,92,3
122,93,1,4
123,1,93,4
124,237,1,3
125,1,237,3
126,94,1,9
127,1,94,9
128,95,1,5
129,1,95,5
130,96,1,4
131,1,96,4
132,97,1,7
133,1,97,7
134,98,1,8
135,1,98,8
136,100,1,5
137,1,100,4
138,101,1,5
139,1,101,5
140,102,1,3
141,1,102,3
142,36,1,5
143,1,36,5
144,105,1,5
145,1,105,5
146,37,1,17
147,1,37,17
148,5,1,6
149,1,5,6
150,336,1,2
151,1,336,2
152,64,1,19
153,1,64,19
154,6,1,41
155,1,6,36
156,107,1,1
157,73,1,17
158,1,73,18
159,108,1,4
160,1,108,4
161,7,1,16
162,1,7,15
163,65,1,7
164,1,65,8
165,8,1,11
166,1,8,10
167,115,1,4
168,1,115,4
169,39,1,1
170,1,39,1
171,119,1,2
172,1,119,2
173,40,1,10
174,1,40,9
175,12,1,2
176,1,12,2
177,13,1,2
178,1,13,2
179,15,1,2
180,1,15,2
181,16,1,25
182,1,16,15
183,309,1,2
184,1,309,2
185,20,1,10
186,1,20,10
187,24,1,10
188,1,24,10
189,260,1,1
190,1,260,1
191,126,1,2
192,1,126,2
193,127,1,14
194,1,127,13
195,128,1,3
196,1,128,3
197,130,1,8
198,1,130,4
199,133,1,3
200,1,133,3
201,134,1,6
202,1,134,6
203,26,1,28
204,1,26,28
205,131,1,12
206,1,131,13
207,137,1,4
208,1,137,1
209,44,1,14
210,1,44,14
211,142,1,2
212,1,142,2
213,45,1,7
214,1,45,4
215,143,1,17
216,1,143,16
217,144,1,3
218,1,144,3
219,48,1,7
220,1,48,16
221,49,1,5
222,1,49,7
223,55,1,1
224,1,55,1
225,27,1,18
226,1,27,17
227,146,1,3
228,1,146,3
229,224,1,3
230,1,224,3
231,149,1,12
232,1,149,12
233,154,1,7
234,1,154,5
235,156,1,3
236,1,156,3
237,68,1,6
238,1,68,6
239,157,1,6
240,1,157,6
241,160,1,6
242,1,160,6
243,162,1,4
244,1,162,4
245,163,1,4
246,1,163,7
247,69,1,23
248,1,69,22
249,165,1,2
250,1,165,2
251,168,1,1
252,169,1,1
253,1,169,1
254,170,1,3
255,1,170,3
256,29,1,11
257,1,29,11
258,30,1,16
259,1,30,16
260,171,1,1
261,1,171,1
262,60,1,7
263,1,60,7
264,211,1,1
265,1,211,1
266,173,1,4
