,Source,Target,Weight
0,1,74,13
1,74,1,13
2,2,74,3
3,74,2,3
4,216,74,2
5,74,216,2
6,96,74,2
7,74,96,2
8,4,74,2
9,74,4,2
10,336,74,8
11,74,336,8
12,64,74,7
13,74,64,7
14,6,74,3
15,74,6,3
16,73,74,4
17,74,73,4
18,338,74,5
19,74,338,5
20,8,74,7
21,74,8,7
22,66,74,1
23,74,66,1
24,9,74,3
25,74,9,3
26,10,74,3
27,74,10,3
28,11,74,7
29,74,11,7
30,12,74,16
31,74,12,16
32,13,74,7
33,74,13,7
34,14,74,3
35,74,14,3
36,15,74,16
37,74,15,16
38,16,74,11
39,74,16,11
40,17,74,5
41,74,17,5
42,18,74,20
43,74,18,20
44,19,74,6
45,74,19,6
46,20,74,11
47,74,20,12
48,21,74,1
49,74,21,1
50,22,74,3
51,74,22,3
52,24,74,11
53,74,24,11
54,25,74,11
55,74,25,11
56,129,74,1
57,74,129,1
58,339,74,3
59,74,339,3
60,138,74,1
61,74,138,1
62,366,74,2
63,74,366,2
64,44,74,4
65,74,44,4
66,27,74,10
67,74,27,8
68,69,74,1
69,74,69,1
70,286,74,1
71,74,286,1
72,29,74,16
73,74,29,16
74,30,74,4
75,74,30,4
76,60,74,4
77,74,60,5
78,72,74,2
79,74,72,2
80,32,74,15
81,74,32,15
82,33,74,3
83,74,33,3
84,1,80,2
85,80,1,2
86,34,80,6
87,80,34,6
88,190,80,1
89,95,80,2
90,80,95,2
91,217,80,3
92,80,217,3
93,35,80,2
94,80,35,2
95,36,80,2
96,80,36,2
97,38,80,16
98,80,38,16
99,117,80,2
100,80,117,2
101,40,80,4
102,80,40,4
103,129,80,2
104,80,129,2
105,45,80,5
106,80,45,8
107,839,80,2
108,80,839,2
109,46,80,8
110,80,46,9
111,47,80,4
112,80,47,6
113,48,80,18
114,80,48,19
115,49,80,15
116,80,49,16
117,50,80,16
118,80,50,16
119,220,80,1
120,80,220,1
121,52,80,8
122,80,52,8
123,53,80,1
124,80,53,1
125,54,80,8
126,80,54,8
127,55,80,1
128,80,55,3
129,808,80,1
130,80,808,1
131,209,80,2
132,80,209,2
133,814,80,1
134,80,814,1
135,56,80,3
136,80,56,4
137,60,80,6
138,80,60,7
139,174,80,2
140,80,174,2
141,61,80,1
142,80,61,1
143,62,80,8
144,80,62,8
145,1,81,12
146,81,1,13
147,6,81,8
148,81,6,8
149,7,81,6
150,81,7,6
151,66,81,1
152,81,66,1
153,71,81,1
154,81,71,1
155,170,81,4
156,81,170,4
157,1,82,12
158,82,1,13
159,26,82,2
160,82,26,2
161,175,82,1
162,82,175,1
163,179,82,1
164,82,179,1
165,5,83,2
166,83,5,2
167,68,83,2
168,83,68,2
169,6,0,3
170,0,6,3
171,66,0,1
172,0,66,1
173,71,0,1
174,0,71,1
175,170,0,4
176,0,170,4
177,86,84,2
178,84,86,2
179,445,84,1
180,84,445,1
181,64,84,4
182,84,64,4
183,6,84,8
184,84,6,8
185,73,84,2
186,84,73,2
187,40,84,1
188,84,40,1
189,130,84,1
190,84,130,2
191,131,84,2
192,84,131,2
193,143,84,2
194,84,143,2
195,27,84,2
196,84,27,2
197,443,84,2
198,84,443,2
199,68,84,8
200,84,68,9
201,29,84,1
202,84,29,1
203,920,84,1
204,84,920,1
205,211,84,2
206,84,211,2
207,175,84,1
208,84,175,1
209,31,84,1
210,84,31,1
211,33,84,2
212,84,33,2
213,179,84,2
214,84,179,2
215,288,84,1
216,84,288,1
217,74,1,13
218,1,74,13
219,79,1,2
220,1,79,3
221,80,1,2
222,1,80,2
223,81,1,13
224,1,81,12
225,82,1,13
226,1,82,12
227,34,1,8
228,1,34,10
229,2,1,23
230,1,2,24
231,216,1,15
232,1,216,15
233,190,1,3
234,1,190,4
235,85,1,7
236,1,85,6
237,86,1,3
238,1,86,3
239,87,1,6
240,1,87,6
241,3,1,18
242,1,3,18
243,88,1,14
244,1,88,14
245,191,1,1
246,1,191,1
247,687,1,1
248,92,1,5
249,1,92,5
250,93,1,2
251,1,93,2
252,237,1,4
253,1,237,4
254,94,1,13
255,1,94,13
256,95,1,19
257,1,95,19
258,96,1,10
259,1,96,10
260,241,1,4
261,1,241,4
262,97,1,10
263,1,97,10
264,98,1,6
265,1,98,6
266,217,1,3
267,1,217,3
268,99,1,8
269,1,99,8
270,100,1,4
271,1,100,4
272,101,1,6
273,1,101,6
274,102,1,7
275,1,102,7
276,247,1,4
277,1,247,4
278,445,1,1
279,1,445,1
280,105,1,8
281,1,105,8
282,344,1,4
283,1,344,4
284,37,1,32
285,1,37,32
286,363,1,3
287,1,363,3
288,38,1,1
289,1,38,1
290,63,1,18
291,1,63,18
292,409,1,8
293,1,409,8
294,5,1,19
295,1,5,19
296,336,1,16
297,1,336,16
298,64,1,24
299,1,64,24
300,6,1,40
301,1,6,31
302,107,1,2
303,73,1,21
304,1,73,21
305,108,1,12
306,1,108,12
307,7,1,30
308,1,7,30
309,604,1,1
310,1,604,1
311,65,1,20
312,1,65,20
313,386,1,2
314,1,386,2
315,8,1,26
316,1,8,26
317,111,1,9
318,1,111,9
319,75,1,10
320,1,75,10
321,66,1,8
322,1,66,8
323,252,1,2
324,1,252,2
325,554,1,1
326,1,554,1
327,582,1,2
328,1,582,2
329,70,1,1
330,1,70,1
331,253,1,4
332,1,253,4
333,71,1,8
334,1,71,8
335,114,1,3
336,1,114,3
337,583,1,2
338,1,583,2
339,115,1,14
340,1,115,14
341,256,1,7
342,1,256,7
343,257,1,3
344,1,257,3
345,39,1,3
346,1,39,3
347,120,1,10
348,1,120,10
349,586,1,6
350,1,586,6
351,40,1,37
352,1,40,33
353,305,1,9
354,1,305,9
355,11,1,8
356,1,11,8
357,12,1,5
358,1,12,4
359,306,1,4
360,1,306,4
361,122,1,8
362,1,122,8
363,13,1,5
364,1,13,5
365,14,1,1
366,1,14,1
367,15,1,16
368,1,15,16
369,16,1,32
370,1,16,20
371,124,1,3
372,1,124,3
373,125,1,4
374,1,125,4
375,20,1,38
376,1,20,38
377,24,1,6
378,1,24,7
379,127,1,10
380,1,127,10
381,128,1,12
382,1,128,12
383,129,1,4
384,1,129,4
385,130,1,12
386,1,130,10
387,132,1,15
388,1,132,15
389,133,1,3
390,1,133,3
391,134,1,10
392,1,134,10
393,26,1,27
394,1,26,27
395,339,1,5
396,1,339,5
397,442,1,6
398,1,442,6
399,137,1,8
400,1,137,5
401,138,1,3
402,1,138,2
403,44,1,20
404,1,44,20
405,140,1,6
406,1,140,6
407,142,1,18
408,1,142,18
409,67,1,11
410,1,67,11
411,45,1,16
412,1,45,14
413,143,1,23
414,1,143,22
415,314,1,3
416,1,314,3
417,348,1,2
418,1,348,2
419,145,1,1
420,1,145,1
421,649,1,2
422,1,649,2
423,27,1,17
424,1,27,17
425,443,1,3
426,1,443,3
427,146,1,7
428,1,146,6
429,148,1,3
430,1,148,10
431,224,1,9
432,1,224,9
433,149,1,33
434,1,149,33
435,150,1,2
436,1,150,2
437,346,1,2
438,1,346,2
439,153,1,4
440,1,153,4
441,154,1,30
442,1,154,28
443,156,1,14
444,1,156,14
445,68,1,26
446,1,68,26
447,317,1,4
448,1,317,4
449,282,1,4
450,1,282,4
451,157,1,3
452,1,157,3
453,283,1,11
454,1,283,11
455,160,1,8
456,1,160,8
457,318,1,4
458,1,318,4
459,162,1,6
460,1,162,6
461,163,1,1
462,1,163,12
463,69,1,33
464,1,69,32
465,165,1,2
466,1,165,3
467,167,1,2
468,1,167,2
469,168,1,1
470,1,168,1
471,169,1,7
472,1,169,6
473,170,1,6
474,1,170,6
475,286,1,1
476,1,286,1
477,29,1,16
478,1,29,16
479,30,1,15
480,1,30,16
481,171,1,6
482,1,171,6
483,331,1,3
484,1,331,3
485,559,1,1
486,1,559,1
487,221,1,3
488,1,221,3
489,60,1,13
490,1,60,12
491,211,1,8
492,1,211,8
493,222,1,2
494,1,222,2
495,61,1,3
496,1,61,3
497,62,1,5
498,1,62,5
499,176,1,6
500,1,176,6
501,177,1,6
502,1,177,6
503,72,1,14
504,1,72,14
505,32,1,7
506,1,32,7
507,33,1,20
508,1,33,20
509,180,1,4
510,1,180,4
511,184,1,4
512,1,184,4
513,185,1,3
514,1,185,3
515,186,215,2
516,215,186,2
517,1,215,4
518,189,215,3
519,215,189,3
520,2,215,8
521,215,2,8
522,91,215,18
523,215,91,18
524,234,215,6
525,191,215,4
526,215,191,4
527,192,215,4
528,215,192,15
529,218,215,1
530,215,218,1
531,38,215,6
532,215,38,2
533,107,215,16
534,215,107,18
535,116,215,8
536,215,116,12
537,9,215,2
538,215,9,2
539,927,215,2
540,215,927,2
541,602,215,2
542,215,602,2
543,39,215,6
544,215,39,5
545,194,215,6
546,215,194,6
547,195,215,1
548,215,195,1
549,119,215,2
550,215,119,2
551,40,215,4
552,215,40,4
553,16,215,6
554,215,16,11
555,197,215,2
556,198,215,2
557,215,198,4
558,41,215,3
559,215,41,4
560,665,215,1
561,199,215,7
562,215,199,1
563,202,215,11
564,215,202,11
565,203,215,5
566,130,215,10
567,215,130,8
568,204,215,1
569,215,204,3
570,26,215,10
571,215,26,10
572,504,215,2
573,215,504,2
574,45,215,12
575,215,45,12
576,143,215,1
577,215,143,1
578,206,215,1
579,215,206,1
580,590,215,2
581,215,590,2
582,47,215,2
583,215,47,2
584,48,215,2
585,215,48,2
586,49,215,3
587,50,215,2
588,215,50,2
589,52,215,2
590,215,52,2
591,53,215,1
592,215,53,1
593,55,215,4
594,215,55,4
595,209,215,1
596,215,209,1
597,210,215,4
598,148,215,6
599,215,148,6
600,169,215,1
601,215,169,1
602,170,215,3
603,215,170,3
604,286,215,1
605,215,286,1
606,548,215,1
607,215,548,1
608,29,215,10
609,215,29,9
610,30,215,5
611,215,30,4
612,171,215,1
613,215,171,1
614,60,215,10
615,215,60,9
616,61,215,8
617,215,61,7
618,213,215,3
619,215,213,2
620,62,215,18
621,215,62,18
