,Source,Target,Weight
0,1,74,22
1,74,1,22
2,2,74,5
3,74,2,7
4,216,74,6
5,74,216,6
6,3,74,4
7,74,3,5
8,96,74,5
9,74,96,5
10,241,74,1
11,74,241,1
12,97,74,1
13,74,97,1
14,98,74,2
15,74,98,2
16,102,74,2
17,74,102,2
18,105,74,2
19,74,105,2
20,344,74,3
21,74,344,3
22,37,74,2
23,74,37,2
24,4,74,3
25,74,4,3
26,5,74,5
27,74,5,4
28,336,74,4
29,74,336,4
30,64,74,6
31,74,64,6
32,6,74,16
33,74,6,16
34,107,74,3
35,74,107,3
36,337,74,3
37,74,337,3
38,73,74,3
39,74,73,3
40,345,74,2
41,74,345,2
42,338,74,6
43,74,338,6
44,7,74,14
45,74,7,14
46,110,74,2
47,74,110,2
48,65,74,1
49,74,65,1
50,8,74,13
51,74,8,14
52,66,74,2
53,74,66,2
54,9,74,2
55,74,9,3
56,10,74,6
57,74,10,6
58,11,74,12
59,74,11,12
60,12,74,18
61,74,12,18
62,122,74,2
63,74,122,2
64,13,74,3
65,74,13,3
66,14,74,7
67,74,14,7
68,15,74,20
69,74,15,20
70,16,74,28
71,74,16,28
72,17,74,4
73,74,17,4
74,308,74,3
75,74,308,3
76,18,74,17
77,74,18,17
78,19,74,5
79,74,19,5
80,20,74,27
81,74,20,28
82,21,74,7
83,74,21,7
84,22,74,5
85,74,22,5
86,24,74,5
87,74,24,5
88,25,74,15
89,74,25,15
90,127,74,2
91,339,74,4
92,74,339,4
93,137,74,2
94,74,137,2
95,395,74,3
96,74,395,3
97,138,74,1
98,74,138,1
99,366,74,6
100,74,366,6
101,387,74,2
102,74,387,2
103,343,74,1
104,74,343,1
105,44,74,15
106,74,44,15
107,313,74,1
108,74,313,1
109,271,74,2
110,74,271,3
111,272,74,6
112,74,272,6
113,27,74,13
114,74,27,13
115,149,74,5
116,74,149,5
117,154,74,3
118,74,154,3
119,330,74,2
120,74,330,2
121,318,74,3
122,74,318,3
123,162,74,3
124,74,162,3
125,69,74,4
126,74,69,4
127,167,74,1
128,170,74,7
129,74,170,7
130,286,74,3
131,74,286,3
132,29,74,13
133,74,29,15
134,30,74,9
135,74,30,9
136,212,74,4
137,74,212,4
138,61,74,6
139,74,61,6
140,347,74,2
141,74,347,2
142,31,74,7
143,74,31,7
144,72,74,15
145,74,72,15
146,32,74,18
147,74,32,18
148,33,74,9
149,74,33,9
150,1,81,16
151,81,1,16
152,990,81,1
153,81,990,1
154,217,81,2
155,81,217,2
156,64,81,6
157,81,64,6
158,6,81,28
159,81,6,24
160,7,81,26
161,81,7,26
