,Source,Target,Weight
0,1,74,7
1,74,1,8
2,216,74,1
3,74,216,1
4,102,74,1
5,336,74,4
6,74,336,4
7,64,74,1
8,74,64,1
9,6,74,8
10,74,6,8
11,338,74,2
12,74,338,2
13,8,74,5
14,74,8,5
15,66,74,1
16,74,66,1
17,10,74,4
18,74,10,4
19,11,74,6
20,74,11,6
21,12,74,13
22,74,12,13
23,13,74,4
24,74,13,4
25,14,74,2
26,74,14,2
27,15,74,16
28,74,15,16
29,16,74,17
30,74,16,17
31,17,74,2
32,74,17,2
33,18,74,14
34,74,18,14
35,19,74,2
36,74,19,2
37,20,74,12
38,74,20,12
39,21,74,2
40,74,21,2
41,22,74,3
42,74,22,3
43,24,74,8
44,74,24,8
45,25,74,12
46,74,25,12
47,127,74,2
48,339,74,1
49,74,339,1
50,27,74,7
51,74,27,6
52,29,74,11
53,74,29,13
54,30,74,8
55,74,30,8
56,32,74,2
57,74,32,2
58,1,81,10
59,81,1,9
60,64,81,5
61,81,64,5
62,65,81,5
63,81,65,5
64,1,82,7
65,82,1,7
66,64,0,16
67,0,64,16
68,6,0,8
69,0,6,16
70,69,0,8
71,0,69,8
72,64,84,2
73,84,64,2
74,74,1,8
75,1,74,7
76,80,1,2
77,1,80,2
78,81,1,9
79,1,81,10
80,82,1,7
81,1,82,7
82,34,1,2
83,1,34,2
84,2,1,13
85,1,2,13
86,216,1,2
87,1,216,2
88,190,1,1
89,1,190,1
90,85,1,9
91,1,85,8
92,3,1,9
93,1,3,8
94,91,1,2
95,1,91,1
96,94,1,2
97,1,94,2
98,95,1,4
99,1,95,4
100,97,1,6
101,1,97,6
102,98,1,8
103,1,98,6
104,100,1,5
105,1,100,4
106,101,1,3
107,1,101,3
108,102,1,2
109,1,102,2
110,105,1,4
111,1,105,4
112,37,1,11
113,1,37,11
114,38,1,1
115,1,38,1
116,336,1,2
117,1,336,2
118,64,1,17
119,1,64,17
120,6,1,36
121,1,6,31
122,107,1,1
123,73,1,12
124,1,73,12
125,108,1,2
126,1,108,2
127,7,1,12
128,1,7,12
129,110,1,1
130,65,1,5
131,1,65,5
132,8,1,7
133,1,8,7
134,115,1,4
135,1,115,4
136,39,1,3
137,1,39,3
138,119,1,1
139,1,119,1
140,40,1,4
141,1,40,3
142,16,1,22
143,1,16,11
144,20,1,8
145,1,20,8
146,24,1,5
147,1,24,5
148,126,1,2
149,1,126,1
150,127,1,11
151,1,127,10
152,128,1,2
153,1,128,2
154,130,1,5
155,1,130,3
156,658,1,2
157,1,658,2
158,133,1,2
159,1,133,2
160,134,1,3
161,1,134,3
162,26,1,22
163,1,26,22
164,131,1,9
165,1,131,8
166,137,1,5
167,1,137,1
168,44,1,10
169,1,44,10
170,142,1,2
171,1,142,2
172,45,1,7
173,1,45,5
174,143,1,11
175,1,143,11
176,48,1,5
177,1,48,11
178,49,1,4
179,1,49,5
180,27,1,12
181,1,27,12
182,146,1,2
183,1,146,2
184,28,1,1
185,1,28,1
186,149,1,5
187,1,149,5
188,154,1,6
189,1,154,4
190,156,1,1
191,1,156,1
192,68,1,2
193,1,68,2
194,157,1,3
195,1,157,3
196,160,1,6
197,1,160,6
198,162,1,4
199,1,162,4
200,69,1,23
201,1,69,22
202,165,1,1
203,1,165,1
204,169,1,1
205,1,169,1
206,170,1,3
207,1,170,3
208,29,1,12
209,1,29,12
210,30,1,16
211,1,30,16
212,171,1,1
213,1,171,1
214,60,1,7
215,1,60,7
216,173,1,3
217,1,173,3
218,61,1,7
219,1,61,7
220,62,1,2
221,1,62,1
222,72,1,10
223,1,72,9
224,32,1,1
225,1,32,1
226,33,1,2
227,1,33,2
228,180,1,1
229,1,180,1
230,184,1,2
231,1,184,3
232,185,1,2
233,1,185,3
234,186,215,1
235,215,186,1
236,1,215,2
237,189,215,3
238,215,189,3
239,34,215,3
240,215,34,4
241,2,215,1
242,215,2,1
243,91,215,13
244,215,91,10
245,191,215,3
246,215,191,3
247,192,215,5
248,215,192,7
249,38,215,5
250,215,38,5
251,107,215,11
252,215,107,13
253,116,215,5
254,215,116,7
255,927,215,2
256,215,927,2
257,602,215,2
258,215,602,2
259,39,215,12
260,215,39,12
261,194,215,1
262,215,194,1
263,195,215,1
264,215,195,1
265,40,215,2
266,215,40,2
267,16,215,1
268,215,16,4
269,197,215,1
270,198,215,2
271,215,198,3
272,199,215,3
273,203,215,2
274,130,215,4
275,215,130,8
276,204,215,1
277,215,204,1
278,26,215,5
279,215,26,5
280,206,215,1
281,215,206,1
282,48,215,2
283,215,48,2
284,49,215,9
285,215,49,7
286,207,215,2
287,215,207,2
288,57,215,1
289,215,57,1
290,210,215,4
291,215,210,3
292,148,215,4
293,215,148,4
294,164,215,4
295,169,215,5
296,215,169,5
297,170,215,3
298,215,170,3
299,29,215,36
300,215,29,37
301,30,215,5
302,215,30,5
303,171,215,3
304,215,171,3
305,60,215,7
306,215,60,5
307,61,215,19
308,215,61,19
309,213,215,2
310,215,213,3
311,62,215,2
312,215,62,2
313,72,215,1
314,215,72,1
315,180,215,3
316,215,180,4
317,80,34,8
318,34,80,8
319,1,34,2
320,34,1,2
321,215,34,4
322,34,215,3
323,216,34,2
324,34,216,2
325,95,34,2
326,34,95,2
327,96,34,3
328,34,96,3
329,35,34,3
330,34,35,3
331,99,34,5
332,34,99,5
333,101,34,5
334,34,101,5
335,37,34,5
336,34,37,5
337,38,34,5
338,34,38,5
339,6,34,4
340,34,6,4
341,108,34,1
342,34,108,1
343,7,34,2
344,34,7,2
345,9,34,4
346,34,9,4
347,194,34,1
348,34,194,1
349,40,34,2
350,34,40,2
351,16,34,4
352,34,16,4
353,20,34,3
354,34,20,3
355,128,34,3
356,34,128,3
357,129,34,8
358,34,129,8
359,133,34,5
360,34,133,5
361,26,34,5
362,34,26,5
363,44,34,15
364,34,44,15
365,48,34,5
366,34,48,5
367,49,34,6
368,34,49,6
369,52,34,3
370,34,52,2
371,55,34,2
372,34,55,2
373,27,34,4
374,34,27,4
375,149,34,3
376,34,149,3
377,160,34,4
378,34,160,4
379,69,34,1
380,29,34,16
381,34,29,16
382,221,34,2
383,34,221,2
384,60,34,16
385,34,60,16
386,211,34,5
387,34,211,6
388,173,34,4
389,34,173,4
390,174,34,5
391,34,174,6
392,222,34,2
393,34,222,2
394,61,34,10
395,34,61,7
396,31,34,2
397,34,31,2
398,779,34,1
399,214,34,6
400,34,214,6
401,74,2,2
402,1,2,13
403,2,1,13
404,215,2,1
405,2,215,1
406,230,2,4
407,2,230,3
408,231,2,3
409,2,231,3
