,Source,Target,Weight
0,1,74,8
1,74,1,8
2,85,74,1
3,5,74,1
4,74,5,1
5,336,74,6
6,74,336,6
7,64,74,7
8,74,64,7
9,6,74,3
10,74,6,3
11,73,74,4
12,74,73,4
13,338,74,2
14,74,338,2
15,8,74,4
16,74,8,4
17,66,74,1
18,74,66,1
19,9,74,3
20,74,9,3
21,10,74,2
22,74,10,2
23,11,74,7
24,74,11,7
25,12,74,15
26,74,12,15
27,13,74,7
28,74,13,7
29,14,74,2
30,74,14,2
31,15,74,15
32,74,15,15
33,16,74,11
34,74,16,11
35,17,74,6
36,74,17,6
37,18,74,22
38,74,18,22
39,19,74,6
40,74,19,6
41,20,74,7
42,74,20,7
43,21,74,2
44,74,21,2
45,22,74,2
46,74,22,2
47,24,74,12
48,74,24,12
49,25,74,10
50,74,25,10
51,129,74,1
52,74,129,1
53,366,74,1
54,74,366,1
55,44,74,2
56,74,44,2
57,27,74,6
58,74,27,5
59,69,74,2
60,74,69,2
61,286,74,1
62,74,286,1
63,29,74,16
64,74,29,16
65,30,74,1
66,74,30,1
67,60,74,4
68,74,60,3
69,32,74,8
70,74,32,8
71,33,74,3
72,74,33,3
73,1,80,3
74,80,1,3
75,34,80,6
76,80,34,5
77,95,80,3
78,80,95,3
79,217,80,2
80,80,217,2
81,35,80,1
82,80,35,1
83,36,80,3
84,80,36,3
85,38,80,15
86,80,38,16
87,117,80,1
88,80,117,1
89,40,80,4
90,80,40,4
91,129,80,3
92,80,129,3
93,45,80,8
94,80,45,8
95,839,80,2
96,80,839,2
97,46,80,6
98,80,46,7
99,47,80,3
100,80,47,6
101,48,80,24
102,80,48,26
103,49,80,1
104,80,49,1
105,50,80,16
106,80,50,16
107,52,80,7
108,80,52,7
109,54,80,3
110,80,54,3
111,209,80,2
112,80,209,2
113,56,80,2
114,80,56,3
115,60,80,8
116,80,60,9
117,174,80,3
118,80,174,3
119,62,80,8
120,80,62,8
121,1,81,2
122,81,1,1
123,66,81,1
124,81,66,1
125,71,81,2
126,81,71,2
127,170,81,4
128,81,170,4
129,1,82,1
130,82,1,1
131,70,82,1
132,82,70,1
133,71,82,1
134,82,71,1
135,175,82,1
136,82,175,1
137,179,82,2
138,82,179,2
139,338,0,1
140,66,0,1
141,0,66,1
142,71,0,2
143,0,71,2
144,170,0,4
145,0,170,4
146,64,84,3
147,84,64,3
148,73,84,1
149,84,73,1
150,29,84,2
151,84,29,2
152,179,84,1
153,84,179,1
154,74,1,8
155,1,74,8
156,80,1,2
157,1,80,2
158,81,1,1
159,1,81,2
160,82,1,1
161,1,82,1
162,34,1,7
163,1,34,8
164,2,1,10
165,1,2,10
166,190,1,5
167,1,190,5
