,Source,Target,Weight
0,1,74,13
1,74,1,14
2,2,74,4
3,74,2,4
4,336,74,3
5,74,336,3
6,6,74,11
7,74,6,11
8,7,74,4
9,74,7,4
10,8,74,8
11,74,8,8
12,9,74,3
13,74,9,3
14,10,74,6
15,74,10,6
16,11,74,5
17,74,11,5
18,12,74,13
19,74,12,13
20,13,74,6
21,74,13,6
22,14,74,3
23,74,14,3
24,15,74,14
25,74,15,13
26,16,74,22
27,74,16,23
28,17,74,5
29,74,17,5
30,18,74,17
31,74,18,17
32,19,74,3
33,74,19,3
34,20,74,29
35,74,20,29
36,21,74,3
37,74,21,3
38,22,74,4
39,74,22,4
40,24,74,14
41,74,24,14
42,25,74,10
43,74,25,10
44,26,74,2
45,74,26,2
46,27,74,7
47,74,27,7
48,28,74,7
49,74,28,7
50,29,74,16
51,74,29,16
52,30,74,7
53,74,30,8
54,31,74,8
55,74,31,8
56,32,74,4
57,74,32,4
58,1,80,5
59,80,1,4
60,34,80,2
61,80,34,3
62,35,80,2
63,80,35,2
64,36,80,2
65,80,36,2
66,37,80,2
67,80,37,3
68,38,80,8
69,80,38,8
70,63,80,2
71,80,63,3
72,8,80,2
73,80,8,3
74,39,80,9
75,80,39,9
76,40,80,6
77,80,40,6
78,41,80,1
79,42,80,3
80,80,42,3
81,43,80,2
82,80,43,2
83,44,80,6
84,80,44,6
85,45,80,8
86,80,45,8
87,757,80,2
88,80,757,3
89,46,80,10
90,80,46,10
91,47,80,4
92,80,47,4
93,48,80,29
94,80,48,28
95,49,80,64
96,80,49,63
97,50,80,8
98,80,50,7
99,51,80,3
100,80,51,3
101,52,80,10
102,80,52,10
103,53,80,1
104,80,53,1
105,54,80,5
106,80,54,5
107,55,80,3
108,80,55,3
109,808,80,2
110,80,808,2
111,56,80,6
112,80,56,6
113,57,80,2
114,80,57,2
115,29,80,4
116,80,29,5
117,60,80,13
118,80,60,13
119,61,80,8
120,80,61,8
121,62,80,8
122,80,62,8
123,1,81,30
124,81,1,29
125,63,81,4
126,81,63,4
127,64,81,14
128,81,64,14
129,6,81,29
130,81,6,29
131,7,81,38
132,81,7,37
133,65,81,9
134,81,65,9
135,26,81,6
136,81,26,6
137,69,81,7
138,81,69,7
139,29,81,5
140,81,29,5
141,1,82,38
142,82,1,38
143,6,82,33
144,82,6,33
145,73,82,2
146,82,73,2
147,26,82,2
148,82,26,2
149,339,82,2
150,82,339,2
151,31,82,3
152,82,31,3
153,72,82,9
154,82,72,9
155,1,83,29
156,83,1,28
157,5,83,7
158,83,5,7
159,73,83,2
160,83,73,2
161,64,0,13
162,0,64,13
163,6,0,31
164,0,6,31
165,1,84,24
166,84,1,24
167,76,84,7
168,84,76,7
169,63,84,14
170,84,63,14
171,5,84,9
172,84,5,9
173,64,84,23
174,84,64,23
175,6,84,32
176,84,6,32
177,73,84,12
178,84,73,12
179,109,84,1
180,84,109,1
181,151,84,1
182,84,151,1
183,152,84,2
184,84,152,2
185,68,84,2
186,84,68,2
187,157,84,1
188,84,157,1
189,29,84,6
190,84,29,6
191,31,84,5
192,84,31,5
193,33,84,10
194,84,33,10
195,74,1,14
196,1,74,13
197,79,1,3
198,1,79,4
199,80,1,4
200,1,80,4
201,81,1,29
202,1,81,30
203,82,1,38
204,1,82,38
205,83,1,28
206,1,83,29
207,84,1,24
208,1,84,24
209,34,1,12
210,1,34,14
211,2,1,58
212,1,2,58
213,190,1,4
214,1,190,3
215,85,1,14
216,1,85,15
217,86,1,3
218,1,86,3
219,3,1,38
220,1,3,38
221,88,1,10
222,1,88,10
223,89,1,5
224,1,89,5
