,Source,Target,Weight
0,1,74,11
1,74,1,10
2,2,74,4
3,74,2,4
4,216,74,4
5,74,216,4
6,96,74,2
7,74,96,2
8,102,74,2
9,74,102,2
10,344,74,2
11,74,344,2
12,4,74,1
13,74,4,1
14,336,74,5
15,74,336,5
16,64,74,5
17,74,64,5
18,6,74,10
19,74,6,10
20,107,74,2
21,74,107,2
22,73,74,4
23,74,73,4
24,345,74,1
25,74,345,1
26,338,74,4
27,74,338,4
28,8,74,2
29,74,8,2
30,66,74,1
31,74,66,1
32,9,74,3
33,74,9,3
34,10,74,3
35,74,10,3
36,11,74,8
37,74,11,8
38,12,74,12
39,74,12,12
40,122,74,2
41,74,122,2
42,13,74,6
43,74,13,6
44,14,74,2
45,74,14,2
46,15,74,12
47,74,15,12
48,16,74,18
49,74,16,18
50,17,74,5
51,74,17,5
52,18,74,19
53,74,18,19
54,19,74,3
55,74,19,3
56,20,74,14
57,74,20,14
58,21,74,4
59,74,21,4
60,22,74,6
61,74,22,6
62,24,74,12
63,74,24,12
64,25,74,10
65,74,25,10
66,339,74,3
67,74,339,3
68,27,74,10
69,74,27,9
70,162,74,3
71,74,162,3
72,29,74,14
73,74,29,15
74,30,74,8
75,74,30,8
76,31,74,2
77,74,31,2
78,72,74,5
79,74,72,5
80,32,74,8
81,74,32,8
82,1,81,9
83,81,1,9
84,6,81,2
85,81,6,2
86,26,81,3
87,81,26,3
88,1,82,10
89,82,1,10
90,6,82,3
91,82,6,3
92,130,82,2
93,82,130,2
94,175,82,2
95,82,175,2
96,176,82,3
97,82,176,3
98,177,82,1
99,82,177,2
100,31,82,8
101,82,31,9
102,72,82,4
103,82,72,4
104,33,82,2
105,82,33,2
106,179,82,4
107,82,179,4
108,1,83,2
109,83,1,3
110,64,0,16
111,0,64,16
112,6,0,8
113,0,6,16
114,69,0,8
115,0,69,8
116,86,84,1
117,84,86,1
118,88,84,2
119,84,88,2
120,95,84,1
121,84,95,1
122,64,84,4
123,84,64,4
124,6,84,2
125,84,6,2
126,73,84,4
127,84,73,4
128,120,84,2
129,84,120,3
130,26,84,2
131,84,26,2
132,131,84,1
133,84,131,1
134,143,84,1
135,84,143,1
136,55,84,4
137,84,55,4
138,27,84,1
139,84,27,1
140,60,84,1
141,84,60,1
142,211,84,2
143,84,211,2
144,176,84,2
145,84,176,2
146,31,84,2
147,84,31,2
148,72,84,5
149,84,72,5
150,74,1,10
151,1,74,11
152,79,1,1
153,1,79,2
154,80,1,2
155,1,80,2
156,81,1,9
157,1,81,9
158,82,1,10
159,1,82,10
160,83,1,3
161,1,83,2
162,34,1,3
163,1,34,3
164,2,1,10
165,1,2,10
166,216,1,8
167,1,216,8
168,190,1,2
169,1,190,2
170,85,1,5
171,1,85,6
172,86,1,2
173,1,86,2
174,87,1,1
175,1,87,1
176,3,1,9
177,1,3,10
178,88,1,4
179,1,88,4
180,91,1,1
181,1,91,1
182,94,1,4
183,1,94,4
184,95,1,8
185,1,95,8
186,241,1,4
187,1,241,4
188,97,1,5
189,1,97,5
190,98,1,11
191,1,98,10
192,217,1,1
193,1,217,1
194,99,1,2
195,1,99,2
196,100,1,5
197,1,100,4
198,101,1,3
199,1,101,3
200,102,1,4
201,1,102,4
202,36,1,2
203,1,36,2
204,105,1,6
205,1,105,6
206,37,1,12
207,1,37,12
208,4,1,2
209,1,4,2
210,363,1,1
211,1,363,1
212,38,1,2
213,1,38,2
214,409,1,3
215,1,409,3
216,5,1,10
217,1,5,10
218,336,1,12
219,1,336,12
220,64,1,16
221,1,64,16
222,6,1,35
223,1,6,27
224,107,1,1
225,73,1,14
226,1,73,14
227,7,1,9
228,1,7,9
229,65,1,6
230,1,65,6
231,8,1,13
232,1,8,14
233,115,1,9
234,1,115,9
235,257,1,4
236,1,257,4
237,39,1,1
238,1,39,1
239,119,1,1
240,1,119,1
241,40,1,15
242,1,40,14
243,11,1,5
244,1,11,5
245,12,1,3
246,1,12,3
247,122,1,4
248,1,122,4
249,16,1,33
250,1,16,19
251,124,1,5
252,1,124,5
253,309,1,3
254,1,309,3
255,20,1,15
256,1,20,15
257,24,1,5
258,1,24,5
259,127,1,11
260,1,127,12
261,128,1,6
262,1,128,6
263,130,1,11
264,1,130,9
265,658,1,3
266,1,658,3
267,132,1,2
268,1,132,3
269,133,1,5
270,1,133,5
271,134,1,7
272,1,134,7
273,135,1,2
274,1,135,2
275,26,1,24
276,1,26,24
277,339,1,6
278,1,339,6
279,442,1,2
280,1,442,2
281,131,1,5
282,1,131,5
283,137,1,8
284,1,137,4
285,44,1,14
286,1,44,14
287,140,1,1
288,1,140,1
289,142,1,7
290,1,142,7
291,67,1,4
292,1,67,4
293,45,1,6
294,1,45,5
295,143,1,12
296,1,143,14
297,314,1,2
298,1,314,2
299,348,1,1
300,1,348,1
301,144,1,2
302,1,144,2
303,649,1,1
304,1,649,1
305,48,1,4
306,1,48,12
307,49,1,3
308,1,49,4
309,27,1,10
310,1,27,11
311,443,1,1
312,1,443,1
313,146,1,3
314,1,146,3
315,28,1,1
316,1,28,2
317,510,1,3
318,1,510,3
319,224,1,7
320,1,224,7
321,149,1,7
322,1,149,7
323,346,1,1
324,1,346,1
325,152,1,2
326,1,152,2
327,154,1,10
328,1,154,8
329,156,1,4
330,1,156,4
331,68,1,4
332,1,68,4
333,157,1,6
334,1,157,6
