,Source,Target,Weight
0,1,74,15
1,74,1,15
2,2,74,3
3,74,2,4
4,4,74,2
5,74,4,2
6,336,74,1
7,74,336,1
8,6,74,12
9,74,6,12
10,7,74,3
11,74,7,3
12,8,74,9
13,74,8,9
14,111,74,1
15,9,74,2
16,74,9,2
17,10,74,6
18,74,10,6
19,11,74,6
20,74,11,6
21,12,74,12
22,74,12,12
23,13,74,6
24,74,13,6
25,14,74,4
26,74,14,4
27,15,74,15
28,74,15,15
29,16,74,24
30,74,16,24
31,17,74,4
32,74,17,4
33,18,74,19
34,74,18,19
35,19,74,5
36,74,19,5
37,20,74,29
38,74,20,29
39,21,74,3
40,74,21,3
41,22,74,5
42,74,22,5
43,23,74,3
44,74,23,3
45,24,74,13
46,74,24,13
47,25,74,12
48,74,25,12
49,26,74,3
50,74,26,3
51,27,74,10
52,74,27,9
53,28,74,9
54,74,28,8
55,29,74,16
56,74,29,16
57,30,74,5
58,74,30,6
59,31,74,8
60,74,31,8
61,32,74,5
62,74,32,5
63,33,74,2
64,74,33,3
65,1,80,6
66,80,1,6
67,34,80,3
68,80,34,2
69,2,80,1
70,80,2,1
71,35,80,3
72,80,35,3
73,36,80,3
74,80,36,3
75,37,80,3
76,80,37,3
77,38,80,7
78,80,38,7
79,63,80,1
80,80,63,1
81,5,80,1
82,80,5,1
83,8,80,3
84,80,8,2
85,39,80,11
86,80,39,11
87,40,80,5
88,80,40,5
89,41,80,1
90,42,80,3
91,80,42,4
92,43,80,2
93,80,43,2
94,44,80,6
95,80,44,6
96,45,80,9
97,80,45,9
98,757,80,2
99,80,757,2
100,46,80,10
101,80,46,10
102,47,80,5
103,80,47,5
104,48,80,30
105,80,48,30
106,49,80,61
107,80,49,62
108,50,80,11
109,80,50,11
110,51,80,4
111,80,51,4
112,52,80,7
113,80,52,7
114,53,80,1
115,80,53,1
116,54,80,4
117,80,54,4
118,55,80,3
119,80,55,3
120,808,80,3
121,80,808,3
122,56,80,3
123,80,56,3
124,57,80,2
125,80,57,2
126,58,80,1
127,80,58,1
128,29,80,4
129,80,29,4
130,60,80,13
131,80,60,13
132,61,80,8
133,80,61,8
134,62,80,8
135,80,62,7
136,1,81,31
137,81,1,31
138,217,81,1
139,81,217,1
140,63,81,5
141,81,63,5
142,64,81,12
143,81,64,12
144,6,81,31
145,81,6,31
146,7,81,37
147,81,7,37
148,65,81,8
149,81,65,8
150,66,81,1
151,81,66,1
152,26,81,8
153,81,26,8
154,68,81,1
155,81,68,1
156,69,81,6
157,81,69,6
158,29,81,4
159,81,29,4
160,1,82,37
161,82,1,37
162,6,82,31
163,82,6,32
164,26,82,3
165,82,26,3
166,31,82,3
167,82,31,3
168,72,82,5
169,82,72,5
170,1,83,31
171,83,1,31
172,5,83,7
173,83,5,7
174,73,83,2
175,83,73,2
176,81,0,1
177,1,0,3
178,0,1,2
179,64,0,12
180,0,64,12
181,6,0,30
182,0,6,30
183,68,0,2
184,0,68,2
185,33,0,1
186,0,33,1
187,1,84,24
188,84,1,24
189,76,84,6
190,84,76,6
191,63,84,14
192,84,63,14
193,5,84,9
194,84,5,9
195,64,84,23
196,84,64,23
197,6,84,32
198,84,6,32
199,73,84,11
200,84,73,11
201,66,84,1
202,84,66,1
203,71,84,1
204,84,71,1
205,77,84,1
206,84,77,1
207,151,84,1
208,84,151,1
209,68,84,5
210,84,68,5
211,29,84,6
212,84,29,6
213,31,84,5
214,84,31,5
215,72,84,1
216,84,72,1
217,33,84,7
218,84,33,7
219,74,1,15
220,1,74,15
221,79,1,2
222,1,79,3
223,80,1,5
224,1,80,6
225,81,1,31
226,1,81,31
227,82,1,37
228,1,82,37
229,83,1,31
230,1,83,31
231,0,1,2
232,1,0,3
233,84,1,24
234,1,84,24
235,34,1,12
236,1,34,15
237,2,1,60
238,1,2,60
239,190,1,5
240,1,190,5
241,85,1,15
242,1,85,15
243,86,1,2
244,1,86,2
245,3,1,39
246,1,3,40
247,88,1,10
248,1,88,10
249,89,1,6
250,1,89,6
251,90,1,10
252,1,90,9
253,91,1,4
254,1,91,5
255,233,1,3
256,1,233,2
257,92,1,9
258,1,92,9
259,93,1,3
260,1,93,3
261,237,1,1
262,1,237,1
263,94,1,37
264,1,94,37
265,95,1,20
266,1,95,21
267,96,1,39
268,1,96,37
269,97,1,35
270,1,97,35
271,98,1,12
272,1,98,12
273,217,1,3
274,1,217,3
275,244,1,1
276,1,244,1
277,35,1,1
278,1,35,1
279,99,1,9
280,1,99,9
281,100,1,8
282,1,100,8
283,101,1,16
284,1,101,16
285,102,1,27
286,1,102,26
287,36,1,18
288,1,36,18
289,103,1,2
290,1,103,2
291,104,1,2
292,1,104,2
293,105,1,10
294,1,105,10
295,344,1,2
296,1,344,2
297,37,1,72
298,1,37,72
299,4,1,6
300,1,4,6
301,363,1,3
302,1,363,3
303,38,1,3
304,1,38,3
305,76,1,10
306,1,76,10
307,63,1,98
308,1,63,98
309,5,1,34
310,1,5,34
311,64,1,77
312,1,64,77
313,6,1,110
314,1,6,102
315,73,1,56
316,1,73,56
317,108,1,26
318,1,108,26
319,109,1,12
320,1,109,12
321,7,1,64
322,1,7,63
323,110,1,13
324,1,110,13
325,581,1,2
326,1,581,2
327,65,1,54
328,1,65,54
329,8,1,19
330,1,8,20
331,111,1,3
332,1,111,3
333,66,1,5
334,1,66,5
335,112,1,1
336,1,112,1
337,254,1,1
338,1,254,1
339,71,1,3
340,1,71,3
341,113,1,1
342,1,113,1
343,114,1,2
344,1,114,2
345,115,1,8
346,1,115,8
347,116,1,3
348,1,116,4
349,9,1,23
350,1,9,23
351,117,1,5
352,1,117,7
353,39,1,10
