,Source,Target,Weight
0,1,74,16
1,74,1,16
2,2,74,6
3,74,2,5
4,4,74,3
5,74,4,3
6,5,74,1
7,74,5,1
8,336,74,3
9,74,336,3
10,6,74,19
11,74,6,19
12,7,74,4
13,74,7,4
14,8,74,9
15,74,8,9
16,9,74,3
17,74,9,3
18,40,74,1
19,74,40,1
20,10,74,6
21,74,10,6
22,11,74,7
23,74,11,7
24,12,74,16
25,74,12,16
26,13,74,7
27,74,13,7
28,14,74,7
29,74,14,7
30,15,74,16
31,74,15,16
32,16,74,29
33,74,16,29
34,17,74,4
35,74,17,4
36,18,74,17
37,74,18,17
38,19,74,6
39,74,19,6
40,20,74,41
41,74,20,41
42,21,74,2
43,74,21,2
44,22,74,3
45,74,22,3
46,24,74,15
47,74,24,15
48,25,74,16
49,74,25,16
50,26,74,4
51,74,26,4
52,27,74,11
53,74,27,10
54,28,74,13
55,74,28,13
56,69,74,3
57,74,69,3
58,29,74,15
59,74,29,15
60,30,74,7
61,74,30,7
62,31,74,7
63,74,31,7
64,32,74,5
65,74,32,5
66,1,80,6
67,80,1,6
68,34,80,2
69,80,34,2
70,2,80,2
71,80,2,2
72,35,80,2
73,80,35,2
74,36,80,2
75,80,36,3
76,37,80,5
77,80,37,4
78,38,80,8
79,80,38,9
80,8,80,2
81,80,8,3
82,39,80,7
83,80,39,7
84,119,80,1
85,80,119,1
86,40,80,3
87,80,40,3
88,41,80,1
89,43,80,7
90,80,43,8
91,44,80,8
92,80,44,8
93,45,80,8
94,80,45,8
95,143,80,3
96,80,143,2
97,46,80,7
98,80,46,6
99,47,80,2
100,80,47,2
101,48,80,35
102,80,48,37
103,49,80,48
104,80,49,46
105,50,80,8
106,80,50,8
107,51,80,3
108,80,51,3
109,52,80,5
110,80,52,5
111,53,80,1
112,80,53,1
113,54,80,4
114,80,54,4
115,55,80,2
116,80,55,2
117,56,80,1
118,80,56,1
119,57,80,2
120,80,57,3
121,58,80,2
122,80,58,2
123,29,80,4
124,80,29,4
125,60,80,8
126,80,60,8
127,61,80,8
128,80,61,7
129,62,80,5
130,80,62,5
131,0,81,1
132,81,0,1
133,1,81,25
134,81,1,25
135,63,81,3
136,81,63,3
137,64,81,10
138,81,64,10
139,6,81,32
140,81,6,32
141,7,81,34
142,81,7,34
143,65,81,7
144,81,65,7
145,26,81,8
146,81,26,8
147,68,81,3
148,81,68,3
149,69,81,7
150,81,69,7
151,29,81,4
152,81,29,4
153,1,82,32
154,82,1,32
155,63,82,3
156,82,63,3
157,6,82,32
158,82,6,32
159,26,82,6
160,82,26,6
161,339,82,2
162,82,339,2
163,136,82,4
164,82,136,4
165,176,82,1
166,82,176,1
167,31,82,20
168,82,31,18
169,72,82,3
170,82,72,3
171,32,82,2
172,82,32,2
173,179,82,1
174,82,179,1
175,1,83,27
176,83,1,26
177,5,83,4
178,83,5,4
179,28,83,21
180,83,28,21
181,31,83,1
182,83,31,1
183,81,0,1
184,0,81,1
185,35,0,1
186,64,0,7
187,0,64,7
188,6,0,27
189,0,6,27
190,68,0,4
191,0,68,4
192,29,0,3
193,0,29,3
194,1,84,15
195,84,1,14
196,76,84,4
197,84,76,4
198,63,84,4
199,84,63,4
200,5,84,3
201,84,5,3
202,64,84,14
203,84,64,13
204,6,84,20
205,84,6,20
206,73,84,2
207,84,73,2
208,7,84,8
209,84,7,8
210,26,84,4
211,84,26,4
212,136,84,1
213,84,136,1
214,151,84,1
215,84,151,1
216,152,84,1
217,84,152,1
218,68,84,2
219,84,68,2
220,157,84,1
221,84,157,1
222,29,84,4
223,84,29,4
224,353,84,1
225,84,353,1
226,176,84,1
227,84,176,1
228,347,84,1
229,84,347,1
230,31,84,7
231,84,31,7
232,32,84,1
233,84,32,1
234,33,84,4
235,84,33,4
236,179,84,1
237,84,179,1
238,74,1,16
239,1,74,16
240,79,1,2
241,1,79,3
242,80,1,6
243,1,80,6
244,81,1,25
245,1,81,25
246,82,1,32
247,1,82,32
248,83,1,26
249,1,83,27
250,84,1,14
251,1,84,15
252,1,1,1
253,1,1,1
254,34,1,15
255,1,34,17
256,2,1,52
257,1,2,52
258,85,1,15
259,1,85,15
260,86,1,3
261,1,86,3
262,3,1,37
263,1,3,37
264,88,1,10
265,1,88,10
266,89,1,7
267,1,89,7
268,90,1,8
269,1,90,9
270,91,1,6
271,1,91,5
272,233,1,2
273,1,233,2
274,92,1,8
275,1,92,8
276,93,1,11
277,1,93,11
278,94,1,36
279,1,94,36
280,95,1,23
281,1,95,22
282,96,1,36
283,1,96,36
284,241,1,2
285,1,241,2
286,97,1,41
287,1,97,41
288,98,1,14
289,1,98,14
290,217,1,1
291,1,217,1
292,99,1,7
293,1,99,7
294,100,1,8
295,1,100,7
296,101,1,16
297,1,101,16
298,102,1,22
299,1,102,21
300,247,1,3
301,1,247,3
302,36,1,18
303,1,36,18
304,103,1,3
305,1,103,3
306,104,1,4
307,1,104,4
308,105,1,24
309,1,105,23
310,344,1,5
311,1,344,5
312,37,1,75
313,1,37,72
314,4,1,5
315,1,4,5
316,363,1,3
317,1,363,3
318,38,1,3
319,1,38,3
320,76,1,8
321,1,76,8
322,63,1,100
323,1,63,100
324,5,1,36
325,1,5,36
326,336,1,8
327,1,336,8
328,64,1,78
329,1,64,78
330,6,1,102
331,1,6,93
332,107,1,1
333,73,1,75
334,1,73,75
335,108,1,25
336,1,108,25
337,109,1,10
338,1,109,10
339,7,1,50
340,1,7,48
341,110,1,13
342,1,110,13
343,65,1,52
344,1,65,52
345,8,1,25
346,1,8,25
347,111,1,5
348,1,111,5
349,75,1,3
350,1,75,3
351,66,1,1
352,1,66,1
353,252,1,1
354,1,252,1
355,253,1,2
356,1,253,2
357,71,1,3
358,1,71,3
359,114,1,2
360,1,114,2
361,115,1,14
362,1,115,14
363,9,1,28
364,1,9,25
365,257,1,3
366,1,257,3
367,117,1,4
368,1,117,9
369,39,1,10
370,1,39,9
371,119,1,8
372,1,119,8
373,120,1,16
374,1,120,16
375,40,1,41
376,1,40,41
377,11,1,6
378,1,11,6
379,12,1,28
380,1,12,28
381,122,1,15
382,1,122,15
383,13,1,8
384,1,13,8
385,14,1,2
386,1,14,2
387,15,1,8
388,1,15,8
389,16,1,59
390,1,16,50
391,124,1,16
392,1,124,16
393,77,1,1
394,1,77,1
395,125,1,1
396,1,125,1
397,18,1,4
398,1,18,4
399,20,1,49
400,1,20,49
401,24,1,32
402,1,24,32
403,496,1,8
404,1,496,7
405,260,1,7
406,1,260,7
407,126,1,13
