,Source,Target,Weight
0,1,74,16
1,74,1,16
2,215,74,1
3,74,215,1
4,2,74,4
5,74,2,4
6,96,74,3
7,74,96,3
8,4,74,4
9,74,4,4
10,5,74,1
11,74,5,1
12,6,74,12
13,74,6,13
14,7,74,3
15,74,7,3
16,65,74,1
17,74,65,1
18,8,74,8
19,74,8,8
20,9,74,6
21,74,9,6
22,40,74,2
23,74,40,2
24,10,74,4
25,74,10,4
26,11,74,4
27,74,11,4
28,12,74,16
29,74,12,16
30,13,74,5
31,74,13,5
32,14,74,4
33,74,14,4
34,15,74,16
35,74,15,16
36,16,74,29
37,74,16,29
38,17,74,4
39,74,17,4
40,18,74,15
41,74,18,15
42,19,74,6
43,74,19,6
44,20,74,32
45,74,20,32
46,21,74,7
47,74,21,7
48,22,74,5
49,74,22,5
50,23,74,6
51,74,23,6
52,24,74,12
53,74,24,12
54,25,74,18
55,74,25,18
56,127,74,1
57,26,74,4
58,74,26,3
59,137,74,3
60,74,137,4
61,366,74,4
62,74,366,4
63,343,74,1
64,44,74,3
65,74,44,3
66,27,74,10
67,74,27,10
68,316,74,2
69,74,316,2
70,146,74,1
71,74,146,1
72,992,74,1
73,74,992,1
74,28,74,9
75,74,28,10
76,160,74,1
77,74,160,1
78,170,74,3
79,74,170,4
80,29,74,16
81,74,29,16
82,30,74,6
83,74,30,6
84,31,74,8
85,74,31,8
86,32,74,4
87,74,32,4
88,33,74,5
89,74,33,5
90,1,80,8
91,80,1,8
92,34,80,2
93,80,34,2
94,2,80,2
95,80,2,3
96,88,80,1
97,80,88,1
98,96,80,2
99,80,96,3
100,217,80,1
101,80,217,1
102,35,80,3
103,80,35,4
104,36,80,4
105,80,36,2
106,37,80,6
107,80,37,6
108,38,80,9
109,80,38,9
110,63,80,1
111,80,63,1
112,5,80,6
113,80,5,6
114,6,80,1
115,80,6,1
116,8,80,6
117,80,8,6
118,39,80,15
119,80,39,15
120,194,80,1
121,80,194,1
122,119,80,1
123,80,119,1
124,40,80,9
125,80,40,8
126,41,80,1
127,42,80,2
128,80,42,3
129,43,80,11
130,80,43,11
131,44,80,8
132,80,44,8
133,45,80,10
134,80,45,10
135,46,80,6
136,80,46,6
137,47,80,6
138,80,47,5
139,48,80,34
140,80,48,34
141,49,80,62
142,80,49,62
143,50,80,11
144,80,50,10
145,51,80,2
146,80,51,2
147,52,80,5
148,80,52,5
149,53,80,1
150,80,53,1
151,54,80,8
152,80,54,8
153,55,80,5
154,80,55,5
155,208,80,1
156,80,208,1
157,56,80,3
158,80,56,3
159,57,80,2
160,80,57,2
161,58,80,1
162,80,58,1
163,29,80,4
164,80,29,4
165,59,80,1
166,80,59,1
167,60,80,16
168,80,60,16
169,61,80,16
170,80,61,16
171,62,80,8
172,80,62,8
173,0,81,2
174,84,81,1
175,1,81,22
176,81,1,22
177,217,81,1
178,81,217,1
179,63,81,7
180,81,63,7
181,64,81,11
182,81,64,11
183,6,81,32
184,81,6,32
185,7,81,31
186,81,7,31
187,65,81,10
188,81,65,10
189,75,81,1
190,81,75,1
191,66,81,3
192,81,66,3
193,582,81,1
194,81,582,1
195,70,81,1
196,81,70,1
197,71,81,2
198,81,71,2
199,26,81,7
200,81,26,7
201,136,81,1
202,81,136,1
203,68,81,4
204,81,68,4
205,69,81,7
206,81,69,7
207,170,81,1
208,81,170,1
209,29,81,4
210,81,29,4
211,1,82,30
212,82,1,30
213,101,82,1
214,82,101,1
215,6,82,32
216,82,6,32
217,70,82,1
218,82,70,1
219,71,82,1
220,82,71,1
221,26,82,2
222,82,26,2
223,68,82,3
224,82,68,3
225,31,82,6
226,82,31,6
227,72,82,3
228,82,72,3
229,1,83,31
230,83,1,31
231,5,83,8
232,83,5,8
233,73,83,2
234,83,73,2
235,582,83,1
236,83,582,1
237,28,83,1
238,83,28,1
239,1,0,7
240,0,1,7
241,64,0,10
242,0,64,10
243,6,0,30
244,0,6,30
245,440,0,1
246,0,440,1
247,604,0,1
248,0,604,1
249,111,0,1
250,75,0,2
251,0,75,2
252,66,0,3
253,0,66,3
254,554,0,1
255,0,554,1
256,70,0,1
257,0,70,1
258,71,0,4
259,0,71,4
260,256,0,2
261,0,256,2
262,28,0,1
263,68,0,7
264,0,68,7
265,170,0,1
266,0,170,1
267,33,0,3
268,0,33,3
269,1,84,23
270,84,1,23
271,2,84,2
272,84,2,2
273,93,84,2
274,84,93,2
275,217,84,1
276,84,217,1
277,445,84,1
278,84,445,1
279,76,84,4
280,84,76,4
281,63,84,15
282,84,63,15
283,5,84,5
284,84,5,5
285,64,84,23
286,84,64,23
287,6,84,32
288,84,6,32
289,73,84,8
290,84,73,8
291,386,84,1
292,84,386,1
293,75,84,1
294,84,75,1
295,66,84,2
296,84,66,2
297,70,84,2
298,84,70,2
299,71,84,1
300,84,71,1
301,256,84,1
302,40,84,1
303,84,40,1
304,77,84,2
305,84,77,2
306,68,84,13
307,84,68,13
308,29,84,8
309,84,29,8
310,319,84,1
311,84,319,1
312,31,84,8
313,84,31,8
314,72,84,2
315,84,72,2
316,33,84,10
317,84,33,10
318,179,84,1
319,84,179,1
320,74,1,16
321,1,74,16
322,79,1,2
323,1,79,3
324,80,1,8
325,1,80,8
326,81,1,22
327,1,81,22
328,82,1,30
329,1,82,30
330,83,1,31
331,1,83,31
332,0,1,7
333,1,0,7
334,84,1,23
335,1,84,23
336,34,1,16
337,1,34,18
338,2,1,49
339,1,2,49
340,190,1,5
341,1,190,5
342,85,1,16
343,1,85,16
344,86,1,3
345,1,86,3
346,87,1,1
347,1,87,1
348,3,1,36
349,1,3,36
350,88,1,11
351,1,88,11
352,89,1,7
353,1,89,7
354,90,1,10
355,1,90,9
356,91,1,8
357,1,91,8
358,92,1,11
359,1,92,11
360,93,1,12
361,1,93,12
362,237,1,1
363,1,237,1
364,94,1,36
365,1,94,36
366,95,1,18
367,1,95,18
368,239,1,3
369,1,239,3
370,96,1,37
371,1,96,37
372,97,1,31
373,1,97,31
374,98,1,15
375,1,98,15
376,217,1,2
377,1,217,2
378,244,1,1
379,1,244,1
380,35,1,1
381,1,35,1
382,99,1,10
383,1,99,9
384,100,1,8
385,1,100,8
386,101,1,16
387,1,101,16
388,102,1,20
389,1,102,19
390,246,1,1
391,1,246,1
392,445,1,1
393,1,445,1
394,36,1,17
395,1,36,17
396,103,1,3
397,1,103,3
398,104,1,2
399,1,104,2
400,105,1,25
401,1,105,25
402,37,1,59
403,1,37,59
404,38,1,2
405,1,38,2
406,76,1,6
407,1,76,6
