,Source,Target,Weight
0,1,74,16
1,74,1,16
2,2,74,5
3,74,2,5
4,3,74,1
5,96,74,3
6,74,96,3
7,4,74,2
8,74,4,2
9,5,74,1
10,74,5,1
11,6,74,11
12,74,6,11
13,7,74,4
14,74,7,4
15,8,74,8
16,74,8,8
17,9,74,4
18,74,9,4
19,40,74,1
20,74,40,2
21,10,74,2
22,74,10,2
23,11,74,5
24,74,11,5
25,12,74,12
26,74,12,12
27,13,74,7
28,74,13,7
29,14,74,4
30,74,14,4
31,15,74,12
32,74,15,12
33,16,74,24
34,74,16,24
35,17,74,3
36,74,17,3
37,18,74,11
38,74,18,11
39,19,74,7
40,74,19,7
41,20,74,32
42,74,20,31
43,21,74,5
44,74,21,5
45,22,74,4
46,74,22,4
47,23,74,6
48,74,23,6
49,24,74,14
50,74,24,14
51,25,74,16
52,74,25,16
53,26,74,4
54,74,26,4
55,137,74,3
56,74,137,2
57,366,74,4
58,74,366,4
59,343,74,1
60,44,74,2
61,74,44,2
62,27,74,10
63,74,27,10
64,316,74,2
65,74,316,2
66,146,74,1
67,74,146,1
68,992,74,1
69,74,992,1
70,28,74,9
71,74,28,9
72,170,74,2
73,74,170,3
74,29,74,16
75,74,29,16
76,30,74,5
77,74,30,5
78,31,74,7
79,74,31,7
80,32,74,3
81,74,32,3
82,33,74,4
83,74,33,4
84,1,80,8
85,80,1,8
86,34,80,2
87,80,34,3
88,2,80,2
89,80,2,2
90,96,80,2
91,80,96,2
92,217,80,1
93,80,217,1
94,35,80,4
95,80,35,3
96,36,80,4
97,80,36,4
98,37,80,5
99,80,37,4
100,38,80,6
101,80,38,6
102,63,80,1
103,80,63,1
104,5,80,4
105,80,5,4
106,6,80,2
107,80,6,2
108,8,80,4
109,80,8,5
110,39,80,15
111,80,39,15
112,194,80,1
113,80,194,1
114,119,80,1
115,80,119,1
116,40,80,8
117,80,40,8
118,41,80,1
119,42,80,3
120,80,42,4
121,43,80,11
122,80,43,11
123,44,80,8
124,80,44,8
125,45,80,12
126,80,45,12
127,46,80,5
128,80,46,5
129,47,80,5
130,80,47,5
131,48,80,26
132,80,48,26
133,49,80,57
134,80,49,57
135,50,80,15
136,80,50,15
137,51,80,2
138,80,51,2
139,52,80,4
140,80,52,4
141,53,80,1
142,80,53,1
143,54,80,8
144,80,54,8
145,55,80,5
146,80,55,5
147,208,80,1
148,80,208,1
149,56,80,2
150,80,56,2
151,57,80,2
152,80,57,2
153,58,80,1
154,80,58,1
155,29,80,5
156,80,29,5
157,59,80,2
158,80,59,2
159,60,80,16
160,80,60,16
161,61,80,16
162,80,61,16
163,62,80,8
164,80,62,8
165,0,81,1
166,84,81,1
167,1,81,31
168,81,1,31
169,63,81,7
170,81,63,7
171,64,81,17
172,81,64,17
173,6,81,32
174,81,6,32
175,7,81,38
176,81,7,38
177,65,81,13
178,81,65,13
179,66,81,1
180,81,66,1
181,26,81,8
182,81,26,8
183,28,81,1
184,68,81,4
185,81,68,4
186,69,81,7
187,81,69,7
188,170,81,1
189,81,170,1
190,29,81,5
191,81,29,5
192,32,81,1
193,81,32,1
194,1,82,35
195,82,1,34
196,101,82,1
197,82,101,1
198,6,82,32
199,82,6,32
200,70,82,1
201,82,70,1
202,71,82,1
203,82,71,1
204,129,82,1
205,26,82,3
206,82,26,3
207,68,82,4
208,82,68,4
209,31,82,6
210,82,31,6
211,72,82,3
212,82,72,3
213,1,83,30
214,83,1,30
215,5,83,8
216,83,5,8
217,73,83,3
218,83,73,3
219,1,0,7
220,0,1,7
221,64,0,13
222,0,64,13
223,6,0,30
224,0,6,30
225,440,0,1
226,0,440,1
227,604,0,1
228,0,604,1
229,111,0,1
230,75,0,1
231,0,75,1
232,66,0,1
233,0,66,1
234,71,0,2
235,0,71,2
236,256,0,1
237,0,256,1
238,68,0,5
239,0,68,5
240,170,0,1
241,0,170,1
242,33,0,2
243,0,33,2
244,1,84,25
245,84,1,25
246,2,84,3
247,84,2,3
248,93,84,1
249,84,93,1
250,217,84,1
251,84,217,1
252,445,84,1
253,84,445,1
254,36,84,1
255,76,84,4
256,84,76,4
257,63,84,15
258,84,63,15
259,5,84,5
260,84,5,5
261,64,84,23
262,84,64,22
263,6,84,32
264,84,6,32
265,73,84,8
266,84,73,8
267,75,84,1
268,84,75,1
269,66,84,2
270,84,66,2
271,70,84,3
272,84,70,3
273,71,84,1
274,84,71,1
275,256,84,1
276,40,84,1
277,84,40,1
278,77,84,3
279,84,77,3
280,28,84,1
281,84,28,2
282,149,84,1
283,68,84,13
284,84,68,13
285,29,84,8
286,84,29,8
287,319,84,1
288,84,319,1
289,31,84,8
290,84,31,8
291,72,84,3
292,84,72,3
293,33,84,10
294,84,33,10
295,179,84,2
296,84,179,2
297,74,1,16
298,1,74,16
299,79,1,3
300,1,79,4
301,80,1,8
302,1,80,8
303,81,1,31
304,1,81,31
305,82,1,34
306,1,82,35
307,83,1,30
308,1,83,30
309,0,1,7
310,1,0,7
311,84,1,25
312,1,84,25
313,1,1,3
314,1,1,3
315,34,1,16
316,1,34,19
317,2,1,53
318,1,2,53
319,190,1,5
320,1,190,3
321,85,1,16
322,1,85,16
323,86,1,4
324,1,86,4
325,87,1,1
326,1,87,1
327,3,1,39
328,1,3,39
329,88,1,10
330,1,88,10
331,89,1,6
332,1,89,6
333,90,1,8
334,1,90,9
335,91,1,8
336,1,91,8
337,92,1,10
338,1,92,10
339,93,1,12
340,1,93,12
341,94,1,35
342,1,94,36
343,95,1,18
344,1,95,18
345,239,1,2
346,1,239,2
347,96,1,36
348,1,96,37
349,97,1,31
350,1,97,31
351,98,1,14
352,1,98,14
353,99,1,11
354,1,99,10
355,100,1,8
356,1,100,8
357,101,1,16
358,1,101,16
359,102,1,28
360,1,102,27
361,246,1,1
362,1,246,1
363,445,1,1
364,1,445,1
365,36,1,17
366,1,36,17
367,103,1,2
368,1,103,2
369,104,1,2
370,1,104,2
371,105,1,23
372,1,105,23
373,37,1,60
374,1,37,59
375,4,1,3
376,1,4,3
377,38,1,2
378,1,38,2
379,76,1,7
380,1,76,7
381,63,1,105
382,1,63,104
383,5,1,35
384,1,5,35
385,64,1,72
386,1,64,72
387,6,1,118
388,1,6,102
389,73,1,52
390,1,73,53
391,108,1,26
392,1,108,26
393,109,1,10
394,1,109,11
395,7,1,62
396,1,7,62
397,110,1,13
398,1,110,13
399,604,1,1
400,1,604,1
401,65,1,57
402,1,65,57
403,386,1,2
404,1,386,2
405,8,1,25
406,1,8,24
407,111,1,9
