,Source,Target,Weight
0,1,74,12
1,74,1,11
2,2,74,3
3,74,2,6
4,216,74,1
5,74,216,1
6,336,74,2
7,74,336,2
8,64,74,1
9,74,64,1
10,6,74,8
11,74,6,8
12,73,74,1
13,74,73,1
14,345,74,2
15,74,345,2
16,338,74,1
17,74,338,1
18,7,74,3
19,74,7,3
20,8,74,6
21,74,8,6
22,66,74,1
23,74,66,1
24,10,74,5
25,74,10,5
26,11,74,8
27,74,11,8
28,12,74,11
29,74,12,11
30,13,74,4
31,74,13,4
32,14,74,2
33,74,14,2
34,15,74,17
35,74,15,17
36,16,74,20
37,74,16,20
38,17,74,2
39,74,17,2
40,18,74,16
41,74,18,16
42,19,74,2
43,74,19,2
44,20,74,16
45,74,20,16
46,21,74,2
47,74,21,2
48,22,74,3
49,74,22,3
50,24,74,9
51,74,24,9
52,25,74,13
53,74,25,13
54,127,74,3
55,339,74,1
56,74,339,1
57,27,74,8
58,74,27,9
59,162,74,1
60,74,162,1
61,29,74,11
62,74,29,13
63,30,74,8
64,74,30,8
65,61,74,2
66,74,61,2
67,72,74,1
68,74,72,1
69,32,74,4
70,74,32,4
71,1,81,15
72,81,1,15
73,64,81,4
74,81,64,4
75,1,82,10
76,82,1,9
77,29,84,3
78,84,29,3
79,74,1,11
80,1,74,12
81,80,1,3
82,1,80,4
83,81,1,15
84,1,81,15
85,82,1,9
86,1,82,10
87,34,1,4
88,1,34,4
89,2,1,16
90,1,2,16
91,216,1,2
92,1,216,2
93,190,1,1
94,1,190,1
95,85,1,10
96,1,85,11
97,3,1,11
98,1,3,12
99,88,1,5
100,1,88,5
101,90,1,1
102,1,90,1
103,91,1,2
104,1,91,2
105,92,1,1
106,1,92,1
107,94,1,7
108,1,94,7
109,95,1,5
110,1,95,5
111,96,1,5
112,1,96,5
113,97,1,6
114,1,97,6
115,98,1,6
116,1,98,7
117,100,1,4
118,1,100,5
119,101,1,3
120,1,101,3
121,102,1,2
122,1,102,2
123,36,1,5
124,1,36,5
125,105,1,5
126,1,105,5
127,37,1,13
128,1,37,13
129,38,1,1
130,1,38,1
131,5,1,6
132,1,5,6
133,336,1,7
134,1,336,7
135,64,1,20
136,1,64,20
137,6,1,39
138,1,6,33
139,107,1,1
140,73,1,17
141,1,73,17
142,108,1,4
143,1,108,4
144,7,1,14
145,1,7,14
146,65,1,13
147,1,65,13
148,8,1,6
149,1,8,6
150,115,1,6
151,1,115,6
152,39,1,1
153,1,39,1
154,119,1,2
155,1,119,2
156,40,1,10
157,1,40,10
158,13,1,4
159,1,13,4
160,16,1,22
161,1,16,12
162,309,1,3
163,1,309,3
164,20,1,7
165,1,20,7
166,24,1,8
167,1,24,8
168,260,1,1
169,1,260,1
170,126,1,4
171,1,126,5
172,127,1,13
173,1,127,14
174,128,1,4
175,1,128,4
176,130,1,9
177,1,130,5
178,658,1,3
179,1,658,3
180,133,1,2
181,1,133,2
182,134,1,7
183,1,134,7
184,26,1,24
185,1,26,23
186,339,1,1
187,1,339,1
188,131,1,11
189,1,131,12
190,137,1,3
191,44,1,13
192,1,44,13
193,142,1,3
194,1,142,3
195,45,1,8
196,1,45,5
197,143,1,12
198,1,143,12
199,48,1,6
200,1,48,14
201,49,1,3
202,1,49,4
203,55,1,1
204,1,55,1
205,27,1,15
206,1,27,16
207,146,1,3
208,1,146,3
209,149,1,9
210,1,149,9
211,154,1,9
212,1,154,6
213,156,1,1
214,1,156,1
215,68,1,5
216,1,68,5
217,157,1,5
218,1,157,5
219,160,1,5
220,1,160,5
221,318,1,1
222,1,318,1
223,162,1,6
224,1,162,6
225,163,1,4
226,1,163,4
227,69,1,21
228,1,69,20
229,165,1,3
230,1,165,3
231,169,1,1
232,1,169,1
233,170,1,2
234,1,170,2
235,29,1,10
236,1,29,10
237,30,1,15
238,1,30,15
239,171,1,1
240,1,171,1
241,60,1,8
242,1,60,8
243,211,1,2
244,1,211,2
245,173,1,3
246,1,173,3
247,174,1,5
248,1,174,5
249,61,1,8
250,1,61,7
251,72,1,10
252,1,72,9
253,32,1,1
254,1,32,1
255,33,1,2
256,1,33,2
257,179,1,3
258,1,179,3
259,180,1,4
260,1,180,4
261,184,1,4
262,1,184,4
263,185,1,4
264,1,185,4
265,1,215,3
266,189,215,4
267,215,189,4
268,34,215,4
269,215,34,4
270,2,215,1
271,215,2,1
272,91,215,12
273,215,91,10
274,191,215,3
275,215,191,3
276,192,215,5
277,215,192,6
278,38,215,5
279,215,38,5
280,107,215,11
281,215,107,14
282,116,215,5
283,215,116,7
284,194,215,1
285,215,194,1
286,195,215,1
287,215,195,1
288,40,215,3
289,215,40,3
290,16,215,1
291,215,16,4
292,197,215,1
293,198,215,1
294,215,198,2
295,199,215,3
296,203,215,2
297,130,215,4
298,215,130,7
299,204,215,1
300,26,215,6
301,215,26,6
302,206,215,2
303,215,206,2
304,48,215,2
305,215,48,2
306,49,215,11
307,215,49,7
308,207,215,1
309,215,207,1
310,57,215,1
311,215,57,1
312,210,215,4
313,215,210,2
314,148,215,3
315,215,148,3
316,164,215,4
317,169,215,6
318,215,169,6
319,170,215,2
320,215,170,2
321,29,215,32
322,215,29,33
323,30,215,12
324,215,30,12
325,171,215,5
326,215,171,5
327,60,215,4
328,215,60,2
329,61,215,12
330,215,61,12
331,213,215,2
332,215,213,2
333,180,215,3
334,215,180,4
335,80,34,8
336,34,80,8
337,1,34,4
338,34,1,4
339,215,34,4
340,34,215,4
341,216,34,3
342,34,216,3
343,95,34,2
344,34,95,2
345,96,34,4
346,34,96,4
347,217,34,3
348,35,34,1
349,34,35,1
350,99,34,4
351,34,99,4
352,101,34,5
353,34,101,5
354,37,34,4
355,34,37,4
356,218,34,3
357,34,218,2
358,38,34,8
359,34,38,8
360,6,34,9
361,34,6,9
362,108,34,1
363,34,108,1
364,7,34,3
365,34,7,3
366,40,34,2
367,34,40,2
368,16,34,3
369,34,16,3
370,20,34,4
371,34,20,4
372,128,34,4
373,34,128,4
374,129,34,13
375,34,129,13
376,133,34,3
377,34,133,3
378,26,34,6
379,34,26,6
380,44,34,15
381,34,44,15
382,219,34,2
383,34,219,2
384,206,34,1
385,34,206,1
386,48,34,6
387,34,48,6
388,49,34,5
389,34,49,5
390,50,34,1
391,34,50,1
392,220,34,1
393,34,220,1
394,52,34,2
395,34,52,2
396,55,34,3
397,34,55,3
398,27,34,3
399,34,27,3
400,149,34,2
401,34,149,2
402,160,34,5
403,34,160,5
404,69,34,1
405,29,34,16
406,34,29,16
407,221,34,2
408,34,221,3
409,60,34,16
410,34,60,16
411,211,34,8
412,34,211,8
413,173,34,8
414,34,173,8
415,174,34,6
416,34,174,6
417,222,34,3
418,34,222,3
419,61,34,7
420,34,61,8
421,31,34,4
422,34,31,4
423,214,34,8
424,34,214,8
425,224,358,1
426,358,224,1
427,153,358,1
428,358,153,1
429,156,358,1
430,358,156,1
431,74,2,6
432,2,74,3
433,79,2,1
434,2,79,2
435,1,2,16
436,2,1,16
437,215,2,1
438,2,215,1
439,473,2,1
440,230,2,6
441,231,2,2
442,2,231,2
443,322,2,2
444,411,2,3
445,91,2,4
446,2,91,2
447,376,2,2
448,192,2,4
449,2,192,6
450,235,2,3
451,2,235,2
452,94,2,4
453,2,94,4
454,240,2,5
455,2,240,5
456,241,2,1
457,2,241,1
458,97,2,7
459,2,97,7
460,98,2,1
461,2,98,1
462,100,2,4
463,2,100,10
464,101,2,5
465,2,101,5
466,36,2,4
467,2,36,4
468,103,2,2
469,2,103,2
470,105,2,3
471,2,105,3
472,37,2,7
473,2,37,7
474,106,2,5
475,2,106,5
476,858,2,6
477,6,2,14
478,2,6,15
479,73,2,3
480,2,73,3
481,7,2,6
482,2,7,6
483,251,2,2
484,2,251,3
485,8,2,5
486,2,8,5
487,116,2,2
488,258,2,4
489,120,2,2
490,2,120,2
491,40,2,2
492,2,40,2
493,259,2,7
494,2,259,7
495,16,2,7
496,2,16,8
497,309,2,3
498,2,309,3
499,20,2,8
500,2,20,8
501,24,2,4
502,2,24,4
503,260,2,3
504,2,260,3
505,126,2,1
506,2,126,1
507,127,2,1
508,2,127,4
509,128,2,2
510,2,128,2
511,43,2,1
512,2,43,1
513,132,2,3
514,2,132,3
515,264,2,13
516,2,264,12
517,310,2,1
518,2,310,1
519,265,2,1
520,2,265,1
521,223,2,3
522,2,223,3
523,267,2,4
524,2,267,4
525,26,2,16
526,2,26,16
527,137,2,1
528,44,2,11
529,2,44,11
530,140,2,1
531,2,140,2
532,142,2,14
533,2,142,14
534,67,2,7
535,2,67,7
536,45,2,17
537,2,45,18
538,269,2,3
539,2,269,3
540,143,2,7
541,2,143,7
542,649,2,3
543,2,649,3
544,49,2,2
545,2,49,2
546,270,2,1
547,2,270,2
548,27,2,1
549,2,27,1
550,274,2,5
551,2,274,1
