,Source,Target,Weight
0,1,74,17
1,74,1,18
2,2,74,4
3,74,2,4
4,216,74,2
5,74,216,2
6,96,74,2
7,74,96,2
8,102,74,2
9,74,102,2
10,344,74,3
11,74,344,3
12,4,74,2
13,74,4,2
14,76,74,3
15,74,76,3
16,336,74,7
17,74,336,7
18,64,74,7
19,74,64,7
20,6,74,4
21,74,6,4
22,107,74,4
23,74,107,4
24,73,74,3
25,74,73,3
26,345,74,2
27,74,345,2
28,338,74,4
29,74,338,4
30,65,74,1
31,74,65,1
32,8,74,7
33,74,8,7
34,66,74,3
35,74,66,3
36,71,74,3
37,74,71,3
38,9,74,6
39,74,9,6
40,40,74,2
41,74,40,1
42,10,74,6
43,74,10,6
44,11,74,9
45,74,11,9
46,12,74,19
47,74,12,19
48,122,74,1
49,74,122,1
50,13,74,6
51,74,13,6
52,14,74,4
53,74,14,4
54,15,74,18
55,74,15,18
56,16,74,18
57,74,16,18
58,17,74,6
59,74,17,6
60,18,74,21
61,74,18,21
62,19,74,4
63,74,19,4
64,20,74,14
65,74,20,13
66,21,74,4
67,74,21,4
68,22,74,9
69,74,22,9
70,24,74,12
71,74,24,12
72,25,74,16
73,74,25,16
74,129,74,1
75,74,129,1
76,339,74,4
77,74,339,4
78,138,74,1
79,74,138,1
80,366,74,2
81,74,366,2
82,44,74,4
83,74,44,4
84,27,74,10
85,74,27,10
86,69,74,1
87,74,69,1
88,286,74,1
89,74,286,2
90,29,74,16
91,74,29,16
92,30,74,4
93,74,30,4
94,60,74,3
95,74,60,4
96,72,74,3
97,74,72,3
98,32,74,14
99,74,32,15
100,33,74,5
101,74,33,5
102,1,80,3
103,80,1,3
104,34,80,6
105,80,34,5
106,190,80,1
107,95,80,2
108,80,95,2
109,239,80,1
110,80,239,1
111,217,80,2
112,80,217,2
113,35,80,3
114,80,35,3
115,36,80,4
116,80,36,4
117,37,80,3
118,80,37,3
119,38,80,16
120,80,38,16
121,76,80,2
122,80,76,2
123,115,80,1
124,80,115,1
125,40,80,5
126,80,40,5
127,15,80,4
128,80,15,4
129,309,80,2
130,80,309,2
131,43,80,2
132,80,43,2
133,129,80,2
134,80,129,2
135,45,80,3
136,80,45,3
137,46,80,3
138,80,46,2
139,47,80,3
140,80,47,6
141,48,80,9
142,80,48,9
143,49,80,7
144,80,49,7
145,50,80,16
146,80,50,16
147,52,80,1
148,80,52,1
149,54,80,2
150,80,54,2
151,55,80,1
152,80,55,1
153,209,80,1
154,80,209,1
155,814,80,1
156,80,814,1
157,56,80,2
158,80,56,3
