,Source,Target,Weight
0,84,74,1
1,74,84,1
2,1,74,21
3,74,1,21
4,216,74,6
5,74,216,6
6,3,74,5
7,74,3,6
8,96,74,8
9,241,74,3
10,74,241,3
11,102,74,2
12,74,102,2
13,105,74,3
14,74,105,3
15,344,74,3
16,74,344,3
17,4,74,2
18,74,4,2
19,5,74,4
20,74,5,2
21,336,74,6
22,74,336,6
23,64,74,8
24,74,64,8
25,6,74,16
26,74,6,16
27,107,74,3
28,74,107,3
29,337,74,2
30,74,337,2
31,73,74,3
32,74,73,3
33,345,74,3
34,74,345,3
35,338,74,5
36,74,338,5
37,7,74,7
38,74,7,8
39,8,74,13
40,74,8,15
41,66,74,3
42,74,66,3
43,9,74,5
44,74,9,5
45,10,74,6
46,74,10,6
47,11,74,13
48,74,11,13
49,12,74,16
50,74,12,16
51,121,74,1
52,74,121,1
53,122,74,3
54,74,122,3
55,13,74,6
56,74,13,6
57,14,74,6
58,74,14,6
59,15,74,18
60,74,15,18
61,16,74,24
62,74,16,24
63,17,74,5
64,74,17,5
65,308,74,3
66,74,308,3
67,18,74,17
68,74,18,17
69,19,74,5
70,74,19,5
71,20,74,18
72,74,20,20
73,21,74,11
74,74,21,11
75,22,74,5
76,74,22,5
77,24,74,5
78,74,24,5
79,25,74,13
80,74,25,13
81,127,74,3
82,26,74,1
83,74,26,1
84,339,74,4
85,74,339,4
86,136,74,1
87,74,136,2
88,137,74,1
89,74,137,1
90,395,74,3
91,74,395,3
92,44,74,7
93,74,44,6
94,27,74,11
95,74,27,12
96,149,74,5
97,74,149,5
98,153,74,1
99,154,74,2
100,74,154,2
101,330,74,3
102,74,330,3
103,318,74,2
104,74,318,2
105,162,74,6
106,74,162,6
107,899,74,1
108,69,74,5
109,74,69,5
110,170,74,1
111,74,170,1
112,29,74,10
113,74,29,15
114,30,74,8
115,74,30,8
116,212,74,3
117,74,212,3
118,61,74,4
119,74,61,4
120,347,74,3
121,74,347,3
122,31,74,4
123,74,31,4
124,72,74,12
125,74,72,12
126,32,74,22
127,74,32,22
128,33,74,4
129,74,33,4
130,1,81,15
131,81,1,17
132,990,81,1
