,Source,Target,Weight
0,1,74,19
1,74,1,19
2,2,74,4
3,74,2,7
4,216,74,2
5,74,216,2
6,96,74,2
7,74,96,2
8,102,74,3
9,74,102,3
10,344,74,2
11,74,344,2
12,5,74,2
13,336,74,4
14,74,336,4
15,64,74,5
16,74,64,5
17,6,74,24
18,74,6,24
19,107,74,2
20,74,107,2
21,73,74,2
22,74,73,2
23,345,74,3
24,74,345,3
25,338,74,3
26,74,338,3
27,7,74,8
28,74,7,8
29,8,74,8
30,74,8,8
31,66,74,4
32,74,66,4
33,40,74,3
34,74,40,3
35,10,74,8
36,74,10,8
37,11,74,9
38,74,11,9
39,12,74,17
40,74,12,17
41,122,74,2
42,74,122,2
43,13,74,7
44,74,13,7
45,14,74,7
46,74,14,7
47,15,74,20
48,74,15,20
49,16,74,29
50,74,16,29
51,17,74,7
52,74,17,7
53,308,74,3
54,74,308,3
55,18,74,22
56,74,18,22
57,19,74,7
58,74,19,7
59,309,74,6
60,74,309,6
61,20,74,25
62,74,20,25
63,21,74,8
64,74,21,8
65,22,74,5
66,74,22,5
67,24,74,8
68,74,24,8
69,25,74,16
70,74,25,16
71,127,74,3
72,339,74,3
73,74,339,3
74,137,74,1
75,74,137,1
76,138,74,2
77,74,138,2
78,366,74,1
79,74,366,1
80,139,74,2
81,74,139,2
82,387,74,1
83,74,387,1
84,44,74,7
85,74,44,7
86,48,74,1
87,74,48,1
88,49,74,1
89,74,49,1
90,272,74,4
91,74,272,4
92,27,74,13
93,74,27,13
94,330,74,4
95,74,330,4
96,318,74,2
97,74,318,2
98,162,74,3
99,74,162,3
100,69,74,3
101,74,69,3
102,170,74,2
103,74,170,2
104,286,74,2
105,74,286,1
106,29,74,11
107,74,29,14
108,30,74,8
109,74,30,8
110,221,74,2
111,74,221,2
112,60,74,6
113,74,60,6
114,173,74,2
115,74,173,2
116,222,74,3
117,74,222,3
118,61,74,8
119,74,61,8
120,72,74,8
121,74,72,8
122,32,74,11
123,74,32,11
124,1,81,18
125,81,1,17
126,64,81,3
127,81,64,3
128,6,81,11
129,81,6,12
130,8,81,2
131,81,8,2
132,66,81,1
133,81,66,1
134,71,81,1
135,583,81,1
136,81,583,1
137,26,81,8
138,81,26,8
139,68,81,1
140,81,68,1
141,69,81,3
142,81,69,3
143,170,81,1
144,1,82,13
145,82,1,13
146,6,82,4
147,82,6,4
148,26,82,1
149,82,26,1
150,1,83,5
151,83,1,5
152,5,83,3
153,83,5,3
154,583,83,2
155,83,583,2
156,81,0,2
157,6,0,7
158,0,6,7
159,66,0,1
160,0,66,1
161,68,0,1
162,0,68,1
163,445,84,1
164,64,84,5
165,84,64,5
166,6,84,8
167,84,6,7
168,73,84,5
169,84,73,5
170,75,84,1
171,84,75,1
172,66,84,5
173,84,66,5
174,71,84,2
175,84,71,2
176,123,84,1
177,84,123,1
178,77,84,1
179,84,77,1
180,26,84,1
181,84,26,1
182,55,84,2
183,84,55,2
184,68,84,7
185,84,68,7
186,29,84,7
187,84,29,7
188,211,84,2
189,84,211,2
190,179,84,1
191,84,179,1
192,74,1,19
193,1,74,19
194,79,1,1
195,1,79,1
196,80,1,10
197,1,80,10
198,81,1,17
199,1,81,18
200,82,1,13
201,1,82,13
202,83,1,5
203,1,83,5
204,84,1,1
205,2,1,28
206,1,2,28
207,216,1,5
208,1,216,5
209,190,1,6
210,1,190,3
211,85,1,16
212,1,85,16
213,86,1,3
214,1,86,3
215,87,1,6
216,1,87,6
217,3,1,20
218,1,3,20
219,88,1,12
220,1,88,12
221,90,1,1
222,1,90,1
223,91,1,1
224,1,91,1
225,92,1,10
226,1,92,10
227,93,1,13
228,1,93,13
229,237,1,6
230,1,237,6
231,94,1,12
232,1,94,12
233,95,1,22
234,1,95,21
235,239,1,3
236,1,239,3
237,96,1,15
238,1,96,15
239,241,1,2
240,1,241,2
241,97,1,16
242,1,97,16
243,98,1,17
244,1,98,16
245,217,1,2
246,1,217,2
247,99,1,2
248,1,99,2
249,100,1,4
250,1,100,5
251,101,1,7
252,1,101,7
253,102,1,14
254,1,102,14
255,36,1,5
256,1,36,5
257,105,1,16
258,1,105,16
259,344,1,5
260,1,344,5
261,37,1,30
262,1,37,31
263,363,1,2
264,1,363,2
265,38,1,1
266,1,38,1
267,5,1,20
268,1,5,20
269,336,1,11
270,1,336,11
271,64,1,30
272,1,64,30
273,6,1,59
274,1,6,51
275,107,1,1
276,73,1,31
277,1,73,31
278,108,1,13
279,1,108,13
280,7,1,24
281,1,7,24
282,110,1,6
283,65,1,20
284,1,65,20
285,386,1,3
286,1,386,3
287,8,1,40
288,1,8,40
289,111,1,9
290,1,111,9
291,75,1,12
292,1,75,12
293,66,1,23
294,1,66,23
295,252,1,5
296,1,252,5
297,554,1,3
298,1,554,3
299,582,1,4
300,1,582,4
301,70,1,8
302,1,70,8
303,253,1,8
304,1,253,8
305,71,1,13
306,1,71,13
307,114,1,8
308,1,114,8
309,583,1,4
310,1,583,4
311,115,1,20
312,1,115,20
313,256,1,12
314,1,256,12
315,257,1,4
316,1,257,4
317,39,1,2
318,1,39,2
319,119,1,4
320,1,119,4
321,120,1,8
322,1,120,8
323,40,1,27
324,1,40,28
325,305,1,5
326,1,305,5
327,11,1,7
328,1,11,7
329,12,1,7
330,1,12,7
331,121,1,1
332,1,121,1
333,306,1,5
334,1,306,5
335,122,1,10
336,1,122,10
337,13,1,7
338,1,13,7
339,123,1,1
340,1,123,1
341,15,1,5
342,1,15,5
343,259,1,15
344,1,259,15
345,16,1,23
346,1,16,13
347,124,1,6
348,1,124,6
349,77,1,6
350,1,77,6
351,125,1,2
352,1,125,2
353,309,1,6
354,1,309,6
355,20,1,23
356,1,20,22
357,24,1,13
358,1,24,13
359,260,1,3
360,1,260,2
361,126,1,4
362,1,126,5
363,127,1,20
364,1,127,20
365,128,1,7
366,1,128,7
367,129,1,3
368,1,129,3
369,130,1,12
370,1,130,9
371,132,1,13
372,1,132,13
373,133,1,8
374,1,133,8
375,134,1,18
376,1,134,17
377,26,1,41
378,1,26,41
379,442,1,3
380,1,442,3
381,131,1,16
382,1,131,16
383,137,1,9
384,1,137,6
385,139,1,2
386,1,139,2
387,44,1,22
388,1,44,22
389,312,1,3
390,1,312,3
391,140,1,5
392,1,140,5
393,141,1,1
394,1,141,1
395,142,1,21
396,1,142,21
397,67,1,8
398,1,67,8
399,45,1,6
400,1,45,5
401,143,1,36
402,1,143,36
403,314,1,2
404,1,314,2
405,144,1,5
406,1,144,5
407,649,1,2
408,1,649,2
409,48,1,11
410,1,48,20
411,49,1,8
412,1,49,9
413,55,1,1
414,1,55,1
415,271,1,2
416,1,271,2
417,272,1,2
418,1,272,2
419,27,1,25
420,1,27,24
421,443,1,3
422,1,443,3
423,146,1,5
424,1,146,5
425,28,1,1
426,1,28,4
427,224,1,6
428,1,224,6
429,149,1,29
430,1,149,29
431,152,1,2
432,1,152,2
433,153,1,9
434,1,153,9
435,154,1,19
436,1,154,16
437,155,1,2
438,1,155,2
439,156,1,8
440,1,156,8
441,68,1,41
442,1,68,41
443,317,1,2
444,1,317,2
445,282,1,2
446,1,282,2
447,157,1,6
448,1,157,6
449,283,1,9
450,1,283,9
451,159,1,2
452,1,159,2
453,160,1,8
454,1,160,8
455,318,1,6
456,1,318,6
457,162,1,15
458,1,162,15
459,163,1,4
460,1,163,4
461,69,1,42
462,1,69,40
463,165,1,3
464,1,165,3
465,168,1,1
466,1,168,2
467,169,1,17
468,1,169,18
469,170,1,25
470,1,170,26
471,286,1,3
472,1,286,3
473,548,1,1
474,1,548,1
475,29,1,24
476,1,29,24
477,30,1,27
478,1,30,26
479,171,1,7
480,1,171,7
481,331,1,5
482,1,331,5
483,559,1,1
484,1,559,1
485,221,1,2
486,1,221,2
487,60,1,16
488,1,60,16
489,211,1,5
490,1,211,5
491,173,1,10
492,1,173,11
493,174,1,7
494,1,174,7
495,222,1,3
496,1,222,4
497,61,1,10
498,1,61,10
499,72,1,16
500,1,72,16
501,32,1,7
502,1,32,7
503,33,1,8
504,1,33,8
505,180,1,8
506,1,180,8
507,183,1,3
508,1,183,3
509,184,1,8
510,1,184,8
511,185,1,8
512,1,185,8
513,186,215,2
514,215,186,2
515,1,215,3
516,189,215,3
517,215,189,3
518,34,215,6
519,215,34,6
520,91,215,11
521,215,91,9
522,191,215,1
523,215,191,1
524,192,215,4
525,215,192,9
526,97,215,2
527,215,97,1
528,38,215,16
529,215,38,13
530,107,215,12
531,215,107,13
532,116,215,6
533,215,116,9
534,927,215,1
535,215,927,2
536,602,215,2
537,215,602,2
538,39,215,4
539,215,39,3
540,194,215,2
541,215,194,2
542,195,215,1
543,215,195,1
544,119,215,1
545,215,119,2
546,40,215,3
547,215,40,3
548,16,215,3
549,215,16,5
550,197,215,2
551,198,215,2
552,260,215,2
553,215,260,2
554,41,215,1
555,215,41,2
556,665,215,1
557,199,215,3
558,203,215,3
559,130,215,4
560,215,130,6
561,204,215,1
562,215,204,2
563,26,215,9
564,215,26,9
565,397,215,2
566,215,397,2
567,45,215,6
568,215,45,6
569,786,215,2
570,215,786,2
571,789,215,1
572,215,789,1
573,206,215,3
574,215,206,3
575,46,215,4
576,215,46,4
577,590,215,1
578,215,590,1
579,47,215,6
580,215,47,6
581,48,215,5
582,215,48,5
583,49,215,11
584,215,49,8
585,207,215,2
586,215,207,1
587,220,215,3
588,215,220,2
589,51,215,2
590,215,51,2
591,678,215,1
592,215,678,1
593,771,215,2
594,215,771,1
595,803,215,1
596,215,803,1
597,52,215,2
598,215,52,3
599,53,215,4
600,215,53,4
601,55,215,2
602,215,55,2
603,209,215,4
604,215,209,4
605,814,215,1
606,215,814,1
607,57,215,1
608,215,57,1
609,210,215,4
610,215,210,1
611,148,215,2
612,215,148,6
613,164,215,4
614,169,215,9
615,215,169,9
616,170,215,18
617,215,170,18
618,286,215,8
619,215,286,8
620,548,215,4
621,215,548,4
622,399,215,8
623,215,399,9
624,29,215,43
625,215,29,44
626,30,215,18
627,215,30,18
628,171,215,11
629,215,171,12
630,60,215,7
631,215,60,6
632,173,215,1
633,215,173,1
634,61,215,14
635,215,61,14
636,213,215,7
637,215,213,2
638,72,215,1
639,215,72,1
640,180,215,3
641,215,180,5
642,183,215,1
643,215,183,1
644,80,34,6
645,34,80,6
646,1,34,1
647,215,34,6
648,34,215,6
649,218,34,21
650,34,218,21
651,38,34,12
652,34,38,12
653,6,34,3
654,34,6,3
655,194,34,3
656,34,194,3
657,40,34,7
658,34,40,7
659,199,34,2
660,34,199,2
661,43,34,1
662,34,43,1
663,219,34,3
664,34,219,3
665,206,34,2
666,34,206,2
667,47,34,1
668,34,47,1
669,48,34,6
670,34,48,6
671,49,34,13
672,34,49,14
673,50,34,3
674,34,50,3
675,207,34,2
676,34,207,2
677,220,34,1
678,34,220,1
679,52,34,2
680,34,52,2
681,53,34,1
682,34,53,1
683,55,34,3
684,34,55,3
685,209,34,1
686,34,209,1
687,57,34,2
688,34,57,1
689,69,34,1
690,170,34,3
691,34,170,2
692,29,34,32
693,34,29,32
694,171,34,1
695,34,171,1
696,59,34,1
697,34,59,1
698,61,34,7
699,34,61,8
700,214,34,5
701,34,214,5
702,93,358,3
703,358,93,3
704,224,358,3
705,358,224,3
706,153,358,3
707,358,153,3
708,156,358,3
709,358,156,3
710,68,358,2
711,358,68,2
712,74,2,7
713,2,74,4
714,79,2,3
715,2,79,4
716,227,2,1
717,80,2,4
718,2,80,4
719,1,2,28
720,2,1,28
721,572,2,1
722,2,572,5
723,320,2,4
724,87,2,5
725,2,87,2
726,3,2,4
727,2,3,4
728,88,2,1
729,2,88,4
730,229,2,2
