,Source,Target,Weight
0,1,74,18
1,74,1,18
2,2,74,3
3,74,2,7
4,216,74,2
5,74,216,2
6,96,74,2
7,74,96,2
8,102,74,2
9,74,102,2
10,344,74,2
11,74,344,2
12,5,74,2
13,336,74,4
14,74,336,4
15,64,74,3
16,74,64,3
17,6,74,17
18,74,6,17
19,107,74,2
20,74,107,2
21,73,74,2
22,74,73,2
23,345,74,3
24,74,345,3
25,338,74,3
26,74,338,3
27,7,74,3
28,74,7,3
29,8,74,8
30,74,8,8
31,66,74,1
32,74,66,1
33,40,74,2
34,74,40,2
35,10,74,7
36,74,10,7
37,11,74,9
38,74,11,9
39,12,74,17
40,74,12,17
41,122,74,2
42,74,122,2
43,13,74,8
44,74,13,8
45,14,74,7
46,74,14,7
47,15,74,20
48,74,15,20
49,16,74,30
50,74,16,30
51,17,74,9
52,74,17,9
53,308,74,3
54,74,308,3
55,18,74,21
56,74,18,21
57,19,74,7
58,74,19,7
59,309,74,5
60,74,309,5
61,20,74,24
62,74,20,24
63,21,74,7
64,74,21,7
65,22,74,4
66,74,22,4
67,24,74,9
68,74,24,9
69,25,74,15
70,74,25,15
71,127,74,4
72,339,74,3
73,74,339,3
74,138,74,1
75,74,138,1
76,366,74,2
77,74,366,2
78,139,74,1
79,74,139,1
80,387,74,2
81,74,387,2
82,44,74,5
83,74,44,5
84,48,74,1
85,74,48,1
86,207,74,1
87,74,207,1
88,272,74,4
89,74,272,4
90,27,74,13
91,74,27,13
92,330,74,4
93,74,330,4
94,318,74,2
95,74,318,2
96,162,74,3
97,74,162,3
98,69,74,2
99,74,69,2
100,170,74,1
101,74,170,1
102,29,74,12
103,74,29,15
104,30,74,8
105,74,30,8
106,221,74,3
107,74,221,3
108,60,74,7
109,74,60,7
110,173,74,2
111,74,173,2
112,222,74,3
113,74,222,3
114,61,74,4
115,74,61,4
116,31,74,1
117,72,74,3
118,74,72,3
119,32,74,11
120,74,32,11
121,1,81,18
122,81,1,17
123,64,81,4
124,81,64,4
125,6,81,5
126,81,6,5
127,8,81,2
128,81,8,2
129,583,81,1
130,81,583,1
131,26,81,2
132,81,26,2
133,1,82,11
134,82,1,10
135,26,82,1
136,82,26,1
137,1,83,1
138,83,1,1
139,583,83,1
140,83,583,1
141,16,83,1
142,445,84,1
143,64,84,1
144,84,64,1
145,75,84,1
146,84,75,1
147,66,84,3
148,84,66,3
149,71,84,1
150,84,71,1
151,123,84,1
152,84,123,1
153,68,84,3
154,84,68,3
155,211,84,1
156,84,211,1
157,175,84,1
158,84,175,1
159,31,84,1
160,84,31,1
161,179,84,2
162,84,179,2
163,288,84,1
164,84,288,1
165,74,1,18
166,1,74,18
167,79,1,1
168,80,1,5
169,1,80,6
170,81,1,17
171,1,81,18
172,82,1,10
173,1,82,11
174,83,1,1
175,1,83,1
176,84,1,1
177,2,1,23
178,1,2,23
179,216,1,2
180,1,216,2
181,190,1,5
182,1,190,5
183,85,1,14
184,1,85,15
185,86,1,2
186,1,86,2
187,87,1,4
188,1,87,4
189,3,1,16
190,1,3,17
191,88,1,9
192,1,88,9
193,91,1,1
194,1,91,1
195,92,1,7
196,1,92,7
197,93,1,8
198,1,93,8
199,237,1,4
200,1,237,4
201,94,1,10
