,Source,Target,Weight
0,1,74,18
1,74,1,18
2,2,74,4
3,74,2,4
4,216,74,6
5,74,216,6
6,241,74,2
7,74,241,2
8,102,74,2
9,74,102,2
10,105,74,2
11,74,105,2
12,344,74,4
13,74,344,4
14,4,74,2
15,74,4,2
16,5,74,6
17,74,5,3
18,336,74,6
19,74,336,6
20,64,74,7
21,74,64,7
22,6,74,16
23,74,6,16
24,107,74,4
25,74,107,4
26,337,74,2
27,74,337,2
28,73,74,3
29,74,73,3
30,345,74,2
31,74,345,2
32,338,74,6
33,74,338,6
34,7,74,7
35,74,7,7
36,8,74,12
37,74,8,13
38,66,74,1
39,74,66,1
40,9,74,2
41,74,9,2
42,40,74,1
43,74,40,1
44,10,74,7
45,74,10,7
46,11,74,12
47,74,11,12
48,12,74,22
49,74,12,21
50,122,74,2
51,74,122,2
52,13,74,2
53,74,13,2
54,14,74,7
55,74,14,7
56,15,74,20
57,74,15,20
58,16,74,23
59,74,16,24
60,17,74,6
61,74,17,6
62,308,74,3
63,74,308,3
64,18,74,21
65,74,18,21
66,19,74,5
67,74,19,5
68,20,74,22
69,74,20,24
70,21,74,10
71,74,21,10
72,22,74,5
73,74,22,5
74,24,74,6
75,74,24,6
76,25,74,18
77,74,25,18
78,127,74,1
79,339,74,4
80,74,339,4
81,395,74,2
82,74,395,2
83,44,74,5
84,74,44,5
85,27,74,9
86,74,27,9
87,149,74,5
88,74,149,5
89,154,74,2
90,74,154,2
91,330,74,4
92,74,330,4
93,318,74,2
94,74,318,2
95,162,74,6
96,74,162,6
97,69,74,5
98,74,69,5
99,29,74,14
100,74,29,16
101,30,74,8
102,74,30,8
103,212,74,3
104,74,212,3
105,61,74,3
106,74,61,3
107,347,74,4
108,74,347,4
109,31,74,2
110,74,31,2
111,72,74,11
112,74,72,11
113,32,74,22
114,74,32,22
115,33,74,3
116,74,33,3
117,1,81,15
118,81,1,15
119,217,81,1
120,81,217,1
121,64,81,5
122,81,64,5
123,6,81,22
124,81,6,22
125,7,81,24
126,81,7,24
127,65,81,4
128,81,65,4
129,26,81,5
130,81,26,5
131,152,81,1
132,81,152,1
133,69,81,2
134,81,69,2
135,1,82,21
136,82,1,20
137,7,82,1
138,24,82,1
139,26,82,7
140,82,26,7
141,339,82,3
142,82,339,3
143,136,82,3
144,82,136,3
145,153,82,1
146,68,82,1
147,175,82,1
148,82,175,1
149,176,82,1
150,82,176,1
151,31,82,15
152,82,31,14
153,72,82,4
154,82,72,4
155,179,82,4
156,82,179,4
157,1,83,10
158,83,1,10
159,5,83,5
160,83,5,5
161,156,83,1
162,69,83,1
163,217,0,4
164,0,217,4
165,64,0,4
166,0,64,4
167,6,0,11
168,0,6,12
169,107,0,1
170,7,0,1
171,24,0,1
172,152,0,1
173,0,152,1
174,68,0,2
175,0,68,2
176,95,84,1
177,84,95,1
178,217,84,4
179,84,217,4
180,991,84,1
181,5,84,6
182,84,5,6
183,64,84,14
184,84,64,14
185,6,84,22
186,84,6,23
187,73,84,8
188,84,73,8
189,441,84,1
190,77,84,1
191,84,77,1
192,24,84,1
193,26,84,6
194,84,26,5
195,152,84,1
196,84,152,1
197,68,84,4
198,84,68,4
199,157,84,1
200,84,157,1
201,446,84,1
