Id,Label,timeset,city,country,name,latitude,longitude,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
967,BRR,,Barra,UNITED KINGDOM,Barra Airport,57.016998,-7.433,1,0,1,20,0,20,0,0,0,0,4,0,721,0,0.007295
968,BEB,,Benbecula,UNITED KINGDOM,Benbecula Airport,57.48111,-7.36277,1,0,1,14,0,14,0,0,0,0,4,0,720,0,0.007295
969,CAL,,Campbeltown,UNITED KINGDOM,Campbeltown Airport,55.43,-5.68,1,0,1,13,0,13,0,0,0,0,4,0,719,0,0.007295
970,LDY,,Londonderry,UNITED KINGDOM,City of Derry Airport,55.04277,-7.16111,3,0,3,23,0,23,0,0,0,0,8,0,47,0.333333,0.024206
971,ILY,,Islay,UNITED KINGDOM,Islay Airport,55.681938,-6.25666,1,0,1,17,0,17,0,0,0,0,4,0,718,0,0.007295
972,TRE,,Tiree,UNITED KINGDOM,Tiree Airport,56.499161,-6.86916,1,0,1,15,0,15,0,0,0,0,4,0,6,0,0.007295
653,ANU,,Antigua,ANTIGUA AND BARBUDA,Antigua V. C. Bird International Airport,17.13674,-61.792599,1,0,1,10,0,10,0,0,0,0,8,0,709,0,0.011261
973,BDA,,Bermuda,BERMUDA,Bermuda L.F. Wade International Airport,32.36404,-64.678703,1,0,1,8,0,8,0,0,0,0,8,0,708,0,0.011261
974,LIR,,Liberia,COSTA RICA,Liberia International Airport,10.59301,-85.545502,1,0,1,1,0,1,0,0,0,0,8,0,706,0,0.011261
821,CCC,,Cayo Coco,CUBA,Cayo Coco Jardines del Rey Airport,22.461111,-78.328613,2,0,2,3,0,3,0,0,0,0,4,0,705,0.5,0.022449
975,KIN,,Kingston,JAMAICA,Kingston Norman Manley International Airport,17.935659,-76.787498,1,0,1,4,0,4,0,0,0,0,8,0,704,0,0.011261
976,PVR,,Puerto Vallarta,MEXICO,Puerto Vallarta International Airport,20.68008,-105.253998,2,0,2,2,0,2,0,0,0,0,4,0,703,0.5,0.022449
977,UVF,,Vieux Fort,SAINT LUCIA,Vieux Fort Hewanorra International Airport,13.73319,-60.952499,1,0,1,12,0,12,0,0,0,0,8,0,702,0,0.011261
978,AUS,,Austin,UNITED STATES,Austin Bergstrom International Airport,30.194521,-97.6698,2,0,2,11,0,11,0,0,0,0,4,0,36,0,0.020421
979,PER,,Perth,AUSTRALIA,Perth Airport,-31.940201,115.966904,1,0,1,8,0,8,0,0,0,0,4,0,716,0,0.00916
980,NAS,,Nassau,BAHAMAS,Nassau Lynden Pindling International Airport,25.03895,-77.466202,1,0,1,4,0,4,0,0,0,0,4,0,715,0,0.00916
981,ZYL,,Sylhet,BANGLADESH,Sylhet Osmani International Airport,24.96324,91.866783,1,0,1,4,0,4,0,0,0,0,4,0,714,0,0.00916
982,YOW,,Ottawa,CANADA,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669098,1,0,1,6,0,6,0,0,0,0,4,0,713,0,0.00916
983,AMD,,Ahmedabad,INDIA,Ahmedabad International Airport,23.07724,72.634651,1,0,1,4,0,4,0,0,0,0,4,0,712,0,0.00916
984,HYD,,Hyderabad,INDIA,Hyderabad Rajiv Gandhi International Airport,17.254,78.431,1,0,1,8,0,8,0,0,0,0,4,0,711,0,0.00916
986,BNA,,Nashville,UNITED STATES,Nashville International Airport,36.12447,-86.678101,1,0,1,6,0,6,0,0,0,0,4,0,23,0,0.00916
988,MSY,,New Orleans,UNITED STATES,New Orleans Louis Armstrong International Airport,29.99338,-90.258003,1,0,1,5,0,5,0,0,0,0,4,0,22,0,0.00916
989,PHX,,Phoenix,UNITED STATES,Phoenix Sky Harbor International Airport,33.434269,-112.011002,1,0,1,10,0,10,0,0,0,0,4,0,20,0,0.00916
992,TAT,,Poprad,SLOVAKIA,Poprad Tatry Airport,49.073589,20.24114,1,0,1,3,0,3,0,0,0,0,0,0,710,0,0.009704
994,GNB,,Grenoble,FRANCE,Grenoble Isere Airport,45.363049,5.332778,1,0,1,4,0,4,0,0,0,0,8,0,723,0,0.011339
995,DND,,Dundee,UNITED KINGDOM,Dundee Airport,56.452492,-3.02583,1,0,1,13,0,13,0,0,0,0,8,0,722,0,0.011339
997,ACI,,Alderney,UNITED KINGDOM,Alderney Airport,49.706108,-2.21472,1,0,1,23,0,23,0,0,0,0,4,0,717,0,0.002256
187,OAI,,Bagram,AFGHANISTAN,Logistics Support Area Anaconda,34.959614,69.270508,0,0,0,0,0,0,0,0,0,0,9,1,725,0,0
196,VBS,,Brescia,ITALY,Brescia Airport,45.428879,10.33055,0,0,0,0,0,0,0,0,0,0,10,2,726,0,0
332,MEM,,Memphis,UNITED STATES,Memphis International Airport,35.042412,-89.976601,0,0,0,0,0,0,0,0,0,0,11,3,727,0,0
333,LUN,,Lusaka,ZAMBIA,Lusaka Kenneth Kaunda International Airport,-15.3308,28.45262,0,0,0,0,0,0,0,0,0,0,12,4,728,0,0
378,UHE,,Kunovice,CZECH REPUBLIC,Kunovice Airport,49.0294,17.439699,0,0,0,0,0,0,0,0,0,0,13,5,729,0,0
466,BQH,,London,UNITED KINGDOM,London Biggin Hill Airport,51.33083,0.0325,0,0,0,0,0,0,0,0,0,0,14,6,730,0,0
467,NHT,,Northolt,UNITED KINGDOM,RAF Northolt,51.553001,-0.41816,0,0,0,0,0,0,0,0,0,0,15,7,731,0,0
508,TCE,,Tulcea,ROMANIA,Cataloi,45.062481,28.71431,0,0,0,0,0,0,0,0,0,0,16,8,732,0,0
545,BGR,,Bangor,UNITED STATES,Bangor International Airport,44.807442,-68.828102,0,0,0,0,0,0,0,0,0,0,17,9,733,0,0
635,RKV,,Reykjavik,ICELAND,Reykjavik Airport,64.12999,-21.9405,0,0,0,0,0,0,0,0,0,0,18,10,734,0,0
662,BLK,,Blackpool,UNITED KINGDOM,Blackpool International Airport,53.77166,-3.02861,0,0,0,0,0,0,0,0,0,0,19,11,735,0,0
664,YQX,,Gander,CANADA,Gander International Airport,48.936939,-54.568001,0,0,0,0,0,0,0,0,0,0,20,12,736,0,0
734,FAB,,Farnborough,UNITED KINGDOM,Farnborough Airport,51.275829,-0.77633,0,0,0,0,0,0,0,0,0,0,21,13,737,0,0
851,RVI,,Rostov-on-Don,RUSSIA,Rostov-on-Don Airport,47.258202,39.818081,0,0,0,0,0,0,0,0,0,0,22,14,738,0,0
857,OXF,,Oxford,UNITED KINGDOM,London Oxford Airport,51.836941,-1.32,0,0,0,0,0,0,0,0,0,0,23,15,739,0,0
878,JCU,,Ceuta,SPAIN,Ceuta Heliport,35.892799,-5.30639,0,0,0,0,0,0,0,0,0,0,24,16,740,0,0
933,KAN,,Kano,NIGERIA,Kano Mallam Aminu International Airport,12.04758,8.524622,0,0,0,0,0,0,0,0,0,0,25,17,741,0,0
955,SCS,,Scatsta,UNITED KINGDOM,Scatsta Airport,60.432777,-1.296111,0,0,0,0,0,0,0,0,0,0,26,18,742,0,0
960,CVT,,Coventry,UNITED KINGDOM,Coventry Airport,52.36972,-1.47972,0,0,0,0,0,0,0,0,0,0,27,19,743,0,0
964,SWS,,Swansea,UNITED KINGDOM,Swansea Airport,51.605331,-4.06783,0,0,0,0,0,0,0,0,0,0,28,20,744,0,0
985,PLH,,Plymouth,UNITED KINGDOM,Plymouth,50.422771,-4.10583,0,0,0,0,0,0,0,0,0,0,29,21,745,0,0
987,WNC,,Tuxekan Island,UNITED STATES,Naukati Bay Seaplane Base,55.849602,-133.227997,0,0,0,0,0,0,0,0,0,0,30,22,746,0,0
990,QEW,,Wiener Neustadt,AUSTRIA,Wiener Neustadt East Airport,47.843334,16.26,0,0,0,0,0,0,0,0,0,0,31,23,747,0,0
991,LBG,,Paris,FRANCE,Paris Le Bourget Airport,48.958801,2.4336,0,0,0,0,0,0,0,0,0,0,32,24,748,0,0
993,HPN,,White Plains,UNITED STATES,White Plains Westchester County Airport,41.06694,-73.707497,0,0,0,0,0,0,0,0,0,0,33,25,749,0,0
996,OKC,,Oklahoma City,UNITED STATES,Oklahoma City Will Rogers World Airport,35.393082,-97.6007,0,0,0,0,0,0,0,0,0,0,34,26,750,0,0
