Id,Label,timeset,city,country,name,latitude,longitude,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
828,PKC,,Petropavlovsk-Kamchatsky,RUSSIA,Petropavlovsk-Kamchatsky Airport,53.167881,158.453598,2,0,2,10,0,10,0,0,0,0,3,0,593,0,0.010412
829,VVO,,Vladivostok,RUSSIA,Vladivostok International Airport,43.398949,132.147995,2,0,2,20,0,20,0,0,0,0,3,0,589,0,0.010412
830,UUS,,Yuzhno-Sakhalinsk,RUSSIA,Yuzhno-Sakhalinsk Airport,46.888672,142.717499,2,0,2,10,0,10,0,0,0,0,3,0,587,0,0.010412
940,ZNZ,,Zanzibar,TANZANIA,Zanzibar Abeid Amani Karume International Airport,-6.22202,39.22488,2,0,2,4,0,4,0,0,0,0,2,0,134,1,0.017588
831,CXR,,Nha Trang,VIETNAM,Nha Trang Cam Ranh International Airport,11.993611,109.224998,1,0,1,2,0,2,0,0,0,0,3,0,131,0,0.007691
832,LWN,,Gyumri,ARMENIA,Gyumri Shirak Airport,40.75,43.849998,2,0,2,11,0,11,0,0,0,0,3,0,614,1,0.008304
833,NAJ,,Nakhchivan,AZERBAIJAN,Nakhchivan International Airport,39.18861,45.458332,2,0,2,3,0,3,0,0,0,0,2,0,613,1,0.012618
834,GOI,,Goa,INDIA,Goa International Airport,15.38083,73.831421,1,0,1,1,0,1,0,0,0,0,3,0,612,0,0.002721
835,DYR,,Anadyr,RUSSIA,Anadyr Ugolny Airport,64.730003,177.740005,1,0,1,4,0,4,0,0,0,0,3,0,611,0,0.002721
836,NER,,Chulman,RUSSIA,Chulman Airport,56.913334,124.911667,1,0,1,4,0,4,0,0,0,0,3,0,608,0,0.002721
837,ESL,,Elista,RUSSIA,Elista Airport,46.370594,44.332966,1,0,1,7,0,7,0,0,0,0,3,0,607,0,0.002721
838,IWA,,Ivanovo,RUSSIA,Ivanovo Yuzhny Airport,56.9394,40.9408,2,0,2,3,0,3,0,0,0,0,3,0,606,1,0.008304
839,KLF,,Kaluga,RUSSIA,Kaluga Grabtsevo Airport,54.549999,36.366669,3,0,3,14,0,14,0,0,0,0,3,0,605,1,0.009147
840,KVX,,Kirov,RUSSIA,Kirov Pobedilovo Airport,58.503052,49.347221,2,0,2,29,0,29,0,0,0,0,3,0,602,1,0.008304
841,KGP,,Kogalym,RUSSIA,Kogalym International Airport,62.195831,74.533607,1,0,1,8,0,8,0,0,0,0,3,0,601,0,0.002721
842,KRO,,Kurgan,RUSSIA,Kurgan Airport,55.475269,65.41555,1,0,1,8,0,8,0,0,0,0,3,0,600,0,0.002721
843,URS,,Kursk,RUSSIA,Kursk Airport,51.75,36.266666,2,0,2,6,0,6,0,0,0,0,3,0,599,1,0.008304
844,IGT,,Magas,RUSSIA,Magas Airport,43.3223,45.0126,1,0,1,16,0,16,0,0,0,0,3,0,597,0,0.002721
845,NAL,,Nalchik,RUSSIA,Nalchik Airport,43.513332,43.638332,2,0,2,19,0,19,0,0,0,0,3,0,595,1,0.008304
846,NNM,,Naryan-Mar,RUSSIA,Naryan-Mar Airport,67.639999,53.121941,2,0,2,11,0,11,0,0,0,0,3,0,594,1,0.008304
847,TBW,,Tambov,RUSSIA,Tambov Donskoye Airport,52.806099,41.4828,2,0,2,14,0,14,0,0,0,0,3,0,592,1,0.008304
848,ULV,,Ulyanovsk,RUSSIA,Ulyanovsk Baratayevka Airport,54.275555,48.243057,1,0,1,5,0,5,0,0,0,0,3,0,591,0,0.002721
849,ULY,,Ulyanovsk,RUSSIA,Ulyanovsk Vostochny Airport,54.400002,48.799999,3,0,3,49,0,49,0,0,0,0,3,0,590,1,0.0159
850,VKT,,Vorkuta,RUSSIA,Vorkuta Airport,67.488609,63.99305,1,0,1,5,0,5,0,0,0,0,3,0,588,0,0.002721
852,IAR,,Yaroslavl,RUSSIA,Yaroslavl Tunoshna Airport,57.560001,40.150002,1,0,1,4,0,4,0,0,0,0,3,0,617,0,0.005582
853,BNX,,Banja Luka,BOSNIA AND HERZEGOVINA,Banja Luka International Airport,44.941441,17.297501,1,0,1,5,0,5,0,0,0,0,0,0,618,0,0.00623
855,VST,,Stockholm,SWEDEN,Stockholm Vasteras Hasslo Airport,59.589439,16.63361,3,3,6,9,9,18,4,0.361773,0.375987,0.010989,8,0,724,0.833333,0.031597
856,IFO,,Ivano-Frankivsk,UKRAINE,Ivano-Frankivsk International Airport,48.884159,24.68611,3,0,3,20,0,20,0,0,0,0,0,0,64,0,0.022564
858,BJL,,Banjul,GAMBIA,Banjul International Airport,13.33796,-16.652201,2,0,2,2,0,2,0,0,0,0,8,0,630,1,0.022302
