Id,City,Country,Label,Name,latitude,longitude
191,Urumqi,CHINA,URC,Urumqi Diwopu International Airport,43.907101,87.474243
192,Zhengzhou,CHINA,CGO,Zhengzhou Xinzheng International Airport,34.519669,113.840797
193,Najaf,IRAQ,NJF,Al Najaf International Airport,31.991667,44.404167
194,Baghdad,IRAQ,BGW,Baghdad International Airport,33.262501,44.234444
195,Basra,IRAQ,BSR,Basra International Airport,30.549061,47.662140
196,Brescia,ITALY,VBS,Brescia Airport,45.428879,10.330550
197,Komatsu,JAPAN,KMQ,Komatsu Airport,36.394611,136.406494
198,Osaka,JAPAN,KIX,Osaka Kansai International Airport,34.427299,135.244003
199,Almaty,KAZAKHSTAN,ALA,Almaty International Airport,43.352070,77.040497
200,Atyrau,KAZAKHSTAN,GUW,Atyrau Airport,47.121941,51.821381
201,Nairobi,KENYA,NBO,Nairobi Jomo Kenyatta International Airport,-1.319240,36.927769
202,Kuwait City,KUWAIT,KWI,Kuwait International Airport,29.226561,47.968922
203,Bishkek,KYRGYZSTAN,FRU,Bishkek Manas International Airport,43.061298,74.477547
204,Kuala Lumpur,MALAYSIA,KUL,Kuala Lumpur International Airport,2.745578,101.709900
205,Maastricht,NETHERLANDS,MST,Maastricht Aachen Airport,50.911652,5.770144
206,Kazan,RUSSIA,KZN,Kazan International Airport,55.606178,49.278721
207,Moscow,RUSSIA,ZIA,Moscow Zhukovsky Airport,55.553333,38.151669
208,Surgut,RUSSIA,SGC,Surgut International Airport,61.343689,73.401840
209,Ufa,RUSSIA,UFA,Ufa International Airport,54.557510,55.874409
210,Singapore,SINGAPORE,SIN,Singapore Changi Airport,1.350189,103.994400
211,Kiev,UKRAINE,IEV,Kiev Zhuliany Airport,50.401691,30.449690
212,Abu Dhabi,UNITED ARAB EMIRATES,AUH,Abu Dhabi International Airport,24.432970,54.651131
213,Dubai,UNITED ARAB EMIRATES,DWC,Dubai World Central International Airport,24.886110,55.172222
214,Tashkent,UZBEKISTAN,TAS,Tashkent International Airport,41.257858,69.281181
215,Baku,AZERBAIJAN,GYD,Baku Heydar Aliyev International Airport,40.467499,50.046661
216,Brussels,BELGIUM,CRL,Brussels South Charleroi Airport,50.459999,4.452778
