,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
0,TIA,MSQ,-1730.0,True,-850.0,True,B28384
1,MSQ,TIA,-917.0,True,-712.0,True,B28383
2,TIA,CRL,-3592.0,True,-1761.0,True,W66625
3,CRL,TIA,-4451.0,True,-2775.0,True,W66626
4,TIA,PRG,-1436.0,True,-566.0,True,W66631
5,PRG,TIA,-1582.0,True,-776.0,True,W66632
6,TIA,BVA,-1557.0,True,-45.0,True,W66633
7,BVA,TIA,-1319.0,True,702.0,False,W66634
8,TIA,SXF,-1515.0,True,-30.0,True,W66611
9,SXF,TIA,-1764.0,True,-584.0,True,W66612
10,TIA,DUS,-908.0,True,-291.0,True,2B711
11,DUS,TIA,-1415.0,True,-660.0,True,2B712
12,TIA,HAM,-682.0,True,147.0,False,2B521
13,TIA,HAM,-351.0,True,1703.0,False,W66613
14,HAM,TIA,-1894.0,True,-714.0,True,2B522
15,HAM,TIA,-1614.0,True,211.0,False,W66614
16,TIA,ATH,-1811.0,True,-988.0,True,A3973
17,TIA,BUD,350.0,False,1810.0,False,W62234
18,BUD,TIA,-489.0,True,691.0,False,W62233
19,TIA,BRI,-3635.0,True,-2359.0,True,2B353
20,TIA,BRI,-3131.0,True,-1442.0,True,W66601
21,BRI,TIA,-2872.0,True,-1767.0,True,2B354
22,BRI,TIA,-2767.0,True,-1477.0,True,W66602
23,TIA,BLQ,-310.0,True,1150.0,False,BV2229
24,TIA,BLQ,-5570.0,True,-4422.0,True,ZB2005
25,BLQ,TIA,-569.0,True,1256.0,False,BV2228
26,BLQ,TIA,-5078.0,True,-3768.0,True,ZB2006
27,TIA,FLR,3141.0,False,4665.0,False,2B267
28,FLR,TIA,1951.0,False,3658.0,False,2B268
29,TIA,BGY,-432.0,True,844.0,False,BV2233
30,TIA,BGY,-1258.0,True,-151.0,True,W63845
31,BGY,TIA,-872.0,True,422.0,False,BV2232
32,BGY,TIA,-1202.0,True,-366.0,True,W63846
33,TIA,MXP,-381.0,True,1586.0,False,BV2221
34,TIA,MXP,224.0,False,1395.0,False,W66607
35,TIA,MXP,-700.0,True,592.0,False,ZB2003
36,MXP,TIA,-3873.0,True,-1837.0,True,BV2220
37,MXP,TIA,-5224.0,True,-3902.0,True,W66608
38,MXP,TIA,-832.0,True,1376.0,False,ZB2004
39,PSA,TIA,-6212.0,True,-4465.0,True,2B230
40,TIA,PSA,-2719.0,True,-1290.0,True,2B231
41,PSA,TIA,-6212.0,True,-4465.0,True,2B230
42,TIA,PSA,-2719.0,True,-1290.0,True,2B231
43,TIA,RMI,-140.0,True,930.0,False,2B351
44,RMI,TIA,-126.0,True,1008.0,False,2B352
45,TIA,FCO,-6381.0,True,-4586.0,True,BV2227
