,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
0,TIA,MSQ,-1542.0,True,-816.0,True,B28384
1,MSQ,TIA,-151.0,True,420.0,False,B28383
2,TIA,BRU,-17.0,True,736.0,False,TB2952
3,BRU,TIA,-514.0,True,1829.0,False,TB2951
4,TIA,CRL,-159.0,True,821.0,False,W66625
5,CRL,TIA,-424.0,True,1760.0,False,W66626
6,TIA,DTM,-674.0,True,372.0,False,W63841
7,DTM,TIA,-747.0,True,1211.0,False,W63842
8,TIA,FRA,7562.0,False,8577.0,False,2B511
9,FRA,TIA,6910.0,False,9088.0,False,2B512
10,TIA,FKB,-709.0,True,-41.0,True,W66617
11,FKB,TIA,-1564.0,True,479.0,False,W66618
12,TIA,ATH,-867.0,True,554.0,False,A3973
13,TIA,AOI,18.0,False,855.0,False,BV2239
14,AOI,TIA,281.0,False,1528.0,False,BV2238
15,TIA,BLQ,-450.0,True,583.0,False,BV2229
16,BLQ,TIA,-942.0,True,957.0,False,BV2228
17,TIA,FLR,2800.0,False,4203.0,False,2B267
18,FLR,TIA,2190.0,False,3863.0,False,2B268
19,TIA,GOA,-597.0,True,676.0,False,BV2241
20,GOA,TIA,-1216.0,True,630.0,False,BV2240
21,TIA,BGY,0.0,False,408.0,False,BV2233
22,TIA,BGY,-767.0,True,56.0,False,W63845
23,TIA,BGY,-25577.0,True,-24459.0,True,ZB2007
24,BGY,TIA,-2606.0,True,-1025.0,True,W63846
25,BGY,TIA,-25448.0,True,-24354.0,True,ZB2008
26,TIA,MXP,0.0,False,917.0,False,BV2221
27,TIA,MXP,-19.0,True,556.0,False,W66607
28,TIA,MXP,-8544.0,True,-6985.0,True,ZB2003
29,MXP,TIA,-2342.0,True,-611.0,True,W66608
30,MXP,TIA,-8285.0,True,-5721.0,True,ZB2004
31,TIA,PEG,-17403.0,True,-16868.0,True,2B273
32,PSA,TIA,-5488.0,True,-3428.0,True,2B230
33,TIA,PSA,-6662.0,True,-5154.0,True,2B231
34,PSA,TIA,-5488.0,True,-3428.0,True,2B230
35,TIA,PSA,-6662.0,True,-5154.0,True,2B231
36,TIA,FCO,58.0,False,1986.0,False,BV2227
37,TIA,FCO,-5885.0,True,-4679.0,True,ZB2001
38,FCO,TIA,-1079.0,True,965.0,False,BV2226
39,FCO,TIA,-7728.0,True,-6205.0,True,ZB2002
40,TIA,VCE,-354.0,True,757.0,False,2B225
41,VCE,TIA,-524.0,True,1429.0,False,2B224
42,TIA,VRN,-17651.0,True,1371.0,False,BV2235
43,VRN,TIA,-17231.0,True,2080.0,False,BV2234
44,TIA,GDN,282.0,False,2095.0,False,LO8724
45,GDN,TIA,-560.0,True,629.0,False,LO8723
46,TIA,KTW,1141.0,False,2665.0,False,LO8598
47,KTW,TIA,-194.0,True,1611.0,False,LO8597
48,TIA,BEG,57.0,False,989.0,False,JU213
49,BEG,TIA,-672.0,True,572.0,False,JU212
50,BEG,TIA,-488.0,True,753.0,False,JU216
51,TIA,IST,-773.0,True,1508.0,False,ZB1003
52,TIA,SAW,-884.0,True,722.0,False,PC282
53,SAW,TIA,-1639.0,True,-969.0,True,PC281
54,TIA,LGW,-83.0,True,503.0,False,U28942
55,LGW,TIA,-603.0,True,1992.0,False,U28941
56,TIA,LTN,-1006.0,True,-801.0,True,W64466
57,LTN,TIA,-4127.0,True,-1351.0,True,W64465
58,TIA,STN,-1167.0,True,-1111.0,True,ZB2015
59,STN,TIA,-2925.0,True,-424.0,True,ZB2016
60,EVN,MSQ,-1880.0,True,-702.0,True,B2734
61,MSQ,EVN,-1012.0,True,188.0,False,B2733
62,CJU,KWJ,-1189.0,True,582.0,False,7C604
63,GRZ,VIE,-19.0,True,522.0,False,OS964
64,GRZ,VIE,-3043.0,True,-2113.0,True,OS980
65,VIE,GRZ,42.0,False,366.0,False,OS963
66,VIE,GRZ,-240.0,True,455.0,False,OS975
67,GRZ,FRA,-450.0,True,620.0,False,LH1261
68,FRA,GRZ,-361.0,True,671.0,False,LH1260
69,INN,VIE,-360.0,True,423.0,False,OS906
70,VIE,INN,-179.0,True,60.0,False,OS913
71,INN,AMS,-344.0,True,867.0,False,HV6610
72,AMS,INN,-599.0,True,475.0,False,HV6609
73,SZG,LCA,-901.0,True,982.0,False,W64590
74,LCA,SZG,-425.0,True,565.0,False,W64589
75,SZG,FRA,4.0,False,1124.0,False,LH1107
76,FRA,SZG,-232.0,True,951.0,False,LH1106
77,SZG,HAM,-824.0,True,293.0,False,EW4344
78,HAM,SZG,-1343.0,True,-206.0,True,EW4345
79,SZG,CFU,-134.0,True,1305.0,False,EW4394
80,CFU,SZG,508.0,False,993.0,False,EW4395
81,SZG,PMI,-268.0,True,536.0,False,FR542
82,PMI,SZG,-240.0,True,506.0,False,FR543
83,SZG,IST,11.0,False,1837.0,False,TK1384
84,IST,SZG,-187.0,True,1118.0,False,TK1383
85,SZG,OGU,238.0,False,3042.0,False,TK1501
86,OGU,SZG,161.0,False,2583.0,False,TK1500
87,VIE,GRZ,42.0,False,366.0,False,OS963
88,VIE,GRZ,-240.0,True,455.0,False,OS975
89,GRZ,VIE,-19.0,True,522.0,False,OS964
90,GRZ,VIE,-3043.0,True,-2113.0,True,OS980
91,VIE,INN,-179.0,True,60.0,False,OS913
92,INN,VIE,-360.0,True,423.0,False,OS906
93,VIE,BRU,-573.0,True,403.0,False,OS351
94,VIE,BRU,-745.0,True,201.0,False,OS355
95,BRU,VIE,-822.0,True,844.0,False,OS352
96,BRU,VIE,-768.0,True,965.0,False,OS356
97,VIE,CRL,-1053.0,True,326.0,False,FR7287
98,VIE,CRL,-585.0,True,623.0,False,W62911
99,CRL,VIE,-1269.0,True,685.0,False,FR7288
100,CRL,VIE,-139.0,True,1325.0,False,W62912
101,LGG,TLV,-78.0,True,2204.0,False,3V4848
102,VIE,DBV,-656.0,True,408.0,False,OS731
103,DBV,VIE,-833.0,True,556.0,False,OS732
104,VIE,SPU,-720.0,True,225.0,False,OS745
105,SPU,VIE,-38.0,True,719.0,False,OS746
106,ZAG,VIE,452.0,False,1239.0,False,OS684
107,VIE,LCA,-1762.0,True,-476.0,True,OS831
108,VIE,LCA,-414.0,True,1446.0,False,W62827
109,LCA,VIE,-1449.0,True,226.0,False,OS832
110,LCA,VIE,-168.0,True,1015.0,False,W62828
111,VIE,PRG,0.0,False,654.0,False,OS705
112,PRG,VIE,414.0,False,1231.0,False,OS706
113,VIE,CPH,-865.0,True,774.0,False,OS305
114,VIE,CPH,-2288.0,True,999.0,False,FR1320
115,CPH,VIE,7.0,False,1387.0,False,OS306
116,CPH,VIE,-1872.0,True,-217.0,True,FR1321
117,VIE,TLL,-417.0,True,750.0,False,BT208
118,TLL,VIE,-342.0,True,1271.0,False,BT207
119,VIE,HEL,-113.0,True,1414.0,False,AY1472
120,HEL,VIE,50.0,False,1679.0,False,AY1471
121,VIE,BSL,-646.0,True,390.0,False,OS473
122,VIE,BSL,-311.0,True,1225.0,False,U21194
