,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
7886,OLB,FCO,-534.0,True,1440.0,False,AZ1906
7887,FCO,OLB,-1137.0,True,412.0,False,AZ1901
7888,FCO,OLB,-870.0,True,282.0,False,AZ1903
7889,FCO,OLB,-2573.0,True,-1366.0,True,AZ1905
7890,FCO,OLB,-925.0,True,303.0,False,AZ1907
7891,OLB,TRN,0.0,False,1495.0,False,V71716
7892,OLB,TRN,-262.0,True,1084.0,False,V71886
7893,TRN,OLB,377.0,False,1892.0,False,V71717
7894,TRN,OLB,160.0,False,2044.0,False,V71887
7895,OLB,VCE,192.0,False,1126.0,False,U23388
7896,OLB,VCE,-1390.0,True,82.0,False,V71213
7897,OLB,VCE,499.0,False,2236.0,False,V71215
7898,OLB,VCE,0.0,False,463.0,False,V71233
7899,VCE,OLB,-699.0,True,1258.0,False,U23387
7900,VCE,OLB,-259.0,True,1769.0,False,V71212
7901,VCE,OLB,-802.0,True,658.0,False,V71214
7902,VCE,OLB,-3739.0,True,-2216.0,True,V71232
7903,OLB,VRN,-630.0,True,734.0,False,V71557
7904,OLB,VRN,-360.0,True,1156.0,False,V71663
7905,OLB,VRN,-546.0,True,781.0,False,V71779
7906,VRN,OLB,-772.0,True,768.0,False,V71556
7907,VRN,OLB,-418.0,True,1144.0,False,V71662
7908,VRN,OLB,181.0,False,2126.0,False,V71778
7909,OLB,AMS,64.0,False,1423.0,False,HV6918
7910,OLB,AMS,147.0,False,1558.0,False,U27986
7911,AMS,OLB,-440.0,True,1228.0,False,HV6917
7912,AMS,OLB,-1051.0,True,828.0,False,U27985
7913,OLB,BCN,-596.0,True,426.0,False,VY6143
7914,BCN,OLB,-555.0,True,1344.0,False,VY6142
7915,OLB,GVA,-874.0,True,477.0,False,LX2371
7916,OLB,GVA,-1657.0,True,-464.0,True,U21504
7917,GVA,OLB,-675.0,True,354.0,False,LX2370
7918,GVA,OLB,-1763.0,True,-639.0,True,U21503
7919,OLB,ZRH,8.0,False,938.0,False,WK387
7920,ZRH,OLB,-423.0,True,1145.0,False,WK386
7921,OLB,LGW,-412.0,True,745.0,False,U28676
7922,LGW,OLB,-1397.0,True,1006.0,False,U28675
7923,OLB,LHR,-1481.0,True,-406.0,True,BA609
7924,LHR,OLB,-2988.0,True,-638.0,True,BA608
7925,OLB,LTN,-1602.0,True,-341.0,True,U22182
