,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list
132,VIE,FRA,-373.0,True,712.0,False
133,VIE,FRA,-773.0,True,824.0,False
134,FRA,ICN,-7398.0,True,-5683.0,True
135,VIE,FRA,-641.0,True,409.0,False
136,VIE,FRA,-265.0,True,1080.0,False
137,FRA,VIE,-524.0,True,1123.0,False
138,FRA,VIE,-455.0,True,868.0,False
139,FRA,VIE,-417.0,True,1085.0,False
140,FRA,VIE,-896.0,True,581.0,False
141,VIE,HAM,-1401.0,True,-8.0,True
142,VIE,HAM,-665.0,True,459.0,False
143,VIE,HAM,-267.0,True,1016.0,False
144,HAM,VIE,-383.0,True,1465.0,False
145,HAM,VIE,-474.0,True,1175.0,False
146,HAM,VIE,-106.0,True,1641.0,False
147,VIE,HAJ,-385.0,True,1005.0,False
148,VIE,HAJ,-746.0,True,613.0,False
149,HAJ,VIE,-69.0,True,1700.0,False
150,HAJ,VIE,-450.0,True,1176.0,False
151,VIE,MUC,0.0,False,654.0,False
152,VIE,MUC,123.0,False,1322.0,False
153,VIE,MUC,0.0,False,1299.0,False
154,MUC,VIE,-224.0,True,583.0,False
155,MUC,VIE,-450.0,True,1284.0,False
156,MUC,VIE,-483.0,True,1019.0,False
157,VIE,STR,30.0,False,1138.0,False
158,VIE,STR,-2180.0,True,-1975.0,True
159,VIE,STR,-56.0,True,1136.0,False
160,STR,VIE,-116.0,True,1246.0,False
161,STR,VIE,352.0,False,2318.0,False
162,VIE,ATH,-1059.0,True,541.0,False
163,VIE,ATH,-766.0,True,1141.0,False
164,VIE,ATH,-957.0,True,592.0,False
165,VIE,ATH,-851.0,True,745.0,False
166,ATH,VIE,-699.0,True,688.0,False
167,ATH,VIE,-565.0,True,1254.0,False
168,ATH,VIE,-625.0,True,1030.0,False
169,ATH,VIE,-1490.0,True,-116.0,True
170,VIE,HER,-857.0,True,170.0,False
171,HER,VIE,-1274.0,True,-4.0,True
172,VIE,AOK,-466.0,True,1123.0,False
173,AOK,VIE,-1104.0,True,272.0,False
174,VIE,EFL,-579.0,True,1045.0,False
175,EFL,VIE,-799.0,True,1028.0,False
176,VIE,JTR,-172.0,True,1216.0,False
177,JTR,VIE,273.0,False,1548.0,False
178,VIE,SKG,-923.0,True,442.0,False
179,VIE,SKG,-580.0,True,827.0,False
180,SKG,VIE,-1399.0,True,-82.0,True
181,SKG,VIE,-308.0,True,700.0,False
182,VIE,KEF,-871.0,True,346.0,False
183,VIE,KEF,-501.0,True,538.0,False
184,KEF,VIE,-1380.0,True,918.0,False
185,KEF,VIE,-998.0,True,2056.0,False
