,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
110,HEL,MSQ,-849.0,True,235.0,False,B2858
111,CDG,MSQ,-1848.0,True,463.0,False,B2864
112,MSQ,FRA,-663.0,True,966.0,False,B2893
113,FRA,MSQ,-325.0,True,670.0,False,B2894
114,MSQ,FCO,-287.0,True,803.0,False,B2885
115,FCO,MSQ,-722.0,True,304.0,False,B2886
116,MSQ,VNO,-562.0,True,-648.0,True,B2803
117,VNO,MSQ,-2358.0,True,-1774.0,True,B2804
118,MSQ,KIV,-784.0,True,606.0,False,B2819
119,KIV,MSQ,-85.0,True,-260.0,True,B2820
120,MSQ,WAW,-370.0,True,264.0,False,B2895
121,WAW,MSQ,-326.0,True,918.0,False,B2896
122,MSQ,BCN,-512.0,True,1025.0,False,B2869
123,BCN,MSQ,-230.0,True,2142.0,False,B2870
124,MSQ,ARN,-449.0,True,-168.0,True,B2855
125,ARN,MSQ,-714.0,True,577.0,False,B2856
126,MSQ,IST,-597.0,True,1959.0,False,B2783
127,MSQ,IST,-1914.0,True,234.0,False,TK284
128,IST,MSQ,-591.0,True,-285.0,True,B2784
129,IST,MSQ,-1399.0,True,-969.0,True,TK283
130,MSQ,KBP,-867.0,True,160.0,False,B2843
131,MSQ,KBP,-1263.0,True,-123.0,True,B2845
132,KBP,MSQ,-667.0,True,-309.0,True,B2844
133,KBP,MSQ,-1248.0,True,-767.0,True,B2846
134,MSQ,IEV,-1233.0,True,-1.0,True,B2847
135,MSQ,LWO,-547.0,True,1040.0,False,B2827
136,LWO,MSQ,56.0,False,1375.0,False,B2828
137,ODS,MSQ,698.0,False,1390.0,False,B2834
138,MSQ,LGW,-623.0,True,270.0,False,B2851
139,LGW,MSQ,-446.0,True,839.0,False,B2852
140,BRU,TIA,-746.0,True,590.0,False,TB2951
141,TIA,BRU,-586.0,True,686.0,False,TB2952
142,VIE,ADD,-3673.0,True,-1899.0,True,ET725
143,BRU,VIE,-798.0,True,-538.0,True,ET725
144,BRU,VIE,-977.0,True,-432.0,True,OS356
145,VIE,BRU,-3948.0,True,-4599.0,True,ET724
146,VIE,BRU,-1352.0,True,-995.0,True,OS355
147,XIY,PEK,-838.0,True,717.0,False,HU492
148,XIY,PEK,-838.0,True,717.0,False,HU492
149,ADD,BRU,-686.0,True,413.0,False,ET728
150,ADD,BRU,-26900.0,True,-22651.0,True,ET3730
151,BOM,SIN,-22815.0,True,-20337.0,True,SQ7973
152,BRU,BEY,-1093.0,True,724.0,False,ME216
153,BEY,BRU,-950.0,True,-1011.0,True,ME215
154,BRU,CMN,-677.0,True,-492.0,True,3O112
155,CMN,BRU,-7.0,True,2021.0,False,3O111
156,BRU,NDR,-36.0,True,565.0,False,3O116
157,NDR,BRU,-316.0,True,1302.0,False,3O115
158,BRU,TNG,-5.0,True,414.0,False,3O114
159,TNG,BRU,-826.0,True,1329.0,False,3O113
160,BRU,AMS,-785.0,True,1303.0,False,KL1724
161,AMS,BRU,-778.0,True,506.0,False,KL1723
162,BRU,WAW,-84.0,True,1862.0,False,LO234
163,WAW,BRU,-877.0,True,357.0,False,LO233
164,BRU,DOH,-337.0,True,1704.0,False,QR194
165,BRU,DOH,-1715.0,True,-187.0,True,QR8195
166,BRU,DOH,-9075.0,True,-6727.0,True,QR8248
167,DOH,BRU,-2727.0,True,-1988.0,True,QR193
168,DOH,BRU,-1150.0,True,-583.0,True,QR8194
169,DOH,BRU,-7904.0,True,-6278.0,True,QR8247
170,BRU,ICN,1164.0,False,4065.0,False,OZ588
171,BRU,ALC,-582.0,True,227.0,False,TB1111
172,ALC,BRU,-1485.0,True,551.0,False,TB1112
173,BRU,BCN,-538.0,True,174.0,False,FR2917
174,BCN,BRU,-462.0,True,1391.0,False,FR2918
175,BRU,FUE,-1010.0,True,-389.0,True,TB1551
176,LPA,BRU,-442.0,True,2126.0,False,TB1552
177,FUE,LPA,-488.0,True,541.0,False,TB1552
178,BRU,ACE,-1134.0,True,-595.0,True,TB1711
179,BRU,MAD,-449.0,True,1074.0,False,IB3203
180,MAD,BRU,-1326.0,True,1361.0,False,IB3206
181,BRU,AGP,-7478.0,True,-7027.0,True,TB1011
182,AGP,BRU,-7500.0,True,-5232.0,True,TB1012
183,BRU,JKG,-748.0,True,1046.0,False,3V4803
184,BRU,IST,-1160.0,True,812.0,False,TK1938
185,IST,BRU,-1092.0,True,-318.0,True,TK1937
186,BRU,DXB,-2720.0,True,-509.0,True,EK184
187,DXB,BRU,-2245.0,True,-666.0,True,EK183
188,BRU,DWC,-5149.0,True,-7356.0,True,ET3713
189,AMS,ORD,-2780.0,True,1395.0,False,EK9987
190,DXB,AMS,-4528.0,True,-3894.0,True,EK9987
191,ADD,BRU,-686.0,True,413.0,False,ET728
192,AMS,ORD,-2780.0,True,1395.0,False,EK9987
193,DXB,AMS,-4528.0,True,-3894.0,True,EK9987
194,IAD,BRU,-979.0,True,146.0,False,UA950
195,CRL,SOF,-2056.0,True,-916.0,True,FR6352
196,SOF,CRL,-2076.0,True,-1757.0,True,FR6351
197,CRL,OPO,-152.0,True,364.0,False,FR1386
198,OPO,CRL,-1085.0,True,-160.0,True,FR1387
199,TLV,CDG,-11799.0,True,-10506.0,True,3V4849
200,CGO,BRU,2312.0,False,6755.0,False,ET3605
201,LGG,ZAZ,-16769.0,True,-17478.0,True,ET3734
202,TLV,LGG,-42248.0,True,-38369.0,True,LY809
203,TLV,CDG,-11799.0,True,-10506.0,True,3V4849
204,LGG,ZAZ,-16769.0,True,-17478.0,True,ET3734
205,TLS,LIS,-38129.0,True,-37031.0,True,3V4946
206,LGG,DOH,-5374.0,True,-2977.0,True,QR8150
207,MIA,LGG,6561.0,False,10683.0,False,QR8156
208,LGG,DOH,-1565.0,True,833.0,False,QR8158
209,IAH,LGG,-11388.0,True,-10655.0,True,QR8186
210,LUX,DOH,-530.0,True,1383.0,False,QR8188
211,ORD,LUX,-2389.0,True,-1837.0,True,QR8188
212,JFK,ORD,-1814.0,True,1091.0,False,QR8188
213,LAX,ORD,-3622.0,True,-428.0,True,QR8141
214,LGG,RUH,-19059.0,True,-17647.0,True,SV922
215,TLS,LIS,-38129.0,True,-37031.0,True,3V4946
216,LIS,TLS,-920.0,True,-229.0,True,3V4947
217,LUX,DOH,-530.0,True,1383.0,False,QR8188
218,ORD,LUX,-2389.0,True,-1837.0,True,QR8188
219,JFK,ORD,-1814.0,True,1091.0,False,QR8188
220,IAH,LGG,-11388.0,True,-10655.0,True,QR8186
221,LAX,ORD,-3622.0,True,-428.0,True,QR8141
222,KBP,CAI,-64.0,True,2002.0,False,MS521
223,OST,KBP,-2020.0,True,408.0,False,MS520
224,CAI,OST,-2860.0,True,-179.0,True,MS520
225,SJJ,VIE,300.0,False,712.0,False,OS758
226,VIE,SJJ,-444.0,True,168.0,False,OS757
227,SJJ,SAW,-4034.0,True,-2543.0,True,PC292
228,SAW,SJJ,-5278.0,True,-4348.0,True,PC291
229,SJJ,DXB,-689.0,True,572.0,False,FZ762
230,DXB,SJJ,-254.0,True,-57.0,True,FZ761
231,TZL,BSL,1920.0,False,758.0,False,W64293
232,BSL,TZL,-225.0,True,1079.0,False,W64294
233,SOF,VIE,171.0,False,1530.0,False,OS798
234,VIE,SOF,-499.0,True,1111.0,False,OS797
235,SOF,CRL,-2076.0,True,-1757.0,True,FR6351
236,CRL,SOF,-2056.0,True,-916.0,True,FR6352
237,SOF,VAR,-1670.0,True,-858.0,True,FB973
238,VAR,SOF,366.0,False,1230.0,False,FB972
239,SOF,CGN,1119.0,False,3089.0,False,WT6991
240,CGN,SOF,-604.0,True,2729.0,False,WT6992
241,SOF,AMS,-939.0,True,11.0,False,FB461
