,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
6186,KUF,LED,-1075.0,True,853.0,False,5N582
6187,KUF,LED,-134.0,True,2413.0,False,SU6232
6188,LED,AER,-1520.0,True,-1096.0,True,DP305
6189,LED,AER,-711.0,True,-543.0,True,N4139
6190,LED,AER,-461.0,True,909.0,False,U6547
6191,LED,AER,-395.0,True,452.0,False,WZ703
6192,LED,AER,-622.0,True,1455.0,False,ZF343
6193,LED,AER,-617.0,True,-129.0,True,SU6561
6194,LED,AER,-453.0,True,-222.0,True,SU6563
6195,LED,AER,-287.0,True,-121.0,True,SU6565
6196,AER,LED,-795.0,True,1006.0,False,DP306
6197,AER,LED,-1056.0,True,29.0,False,N4140
6198,AER,LED,-1879.0,True,-1068.0,True,U6548
6199,AER,LED,-313.0,True,1867.0,False,WZ704
6200,AER,LED,-415.0,True,1423.0,False,SU6562
6201,AER,LED,-401.0,True,1691.0,False,SU6564
6202,AER,LED,-307.0,True,1118.0,False,SU6566
6203,SGC,LED,-9830.0,True,-9711.0,True,SU6442
6204,LED,SCW,-315.0,True,639.0,False,5N503
6205,LED,SCW,-897.0,True,-116.0,True,SU6587
6206,SCW,LED,43.0,False,1431.0,False,5N504
6207,SCW,LED,310.0,False,1986.0,False,SU6588
6208,LED,UFA,-325.0,True,350.0,False,5N591
6209,LED,UFA,-160.0,True,26.0,False,DP559
6210,LED,UFA,-123.0,True,211.0,False,SU6413
6211,UFA,LED,34.0,False,2659.0,False,5N592
6212,UFA,LED,-1313.0,True,821.0,False,DP560
6213,UFA,LED,15.0,False,2167.0,False,SU6414
6214,LED,VOG,-1.0,True,418.0,False,DP517
6215,VOG,LED,-128.0,True,1614.0,False,DP518
6216,LED,VOZ,-277.0,True,192.0,False,DP575
6217,VOZ,LED,-485.0,True,474.0,False,DP576
6218,LED,SVX,-99.0,True,411.0,False,DP515
6219,LED,SVX,-276.0,True,731.0,False,DP581
6220,SVX,KHV,-3922.0,True,-3161.0,True,U6173
6221,LED,SVX,-942.0,True,-788.0,True,U6173
6222,SVX,YKS,-507.0,True,1280.0,False,U6255
6223,IKT,VVO,-798.0,True,-841.0,True,U6365
6224,SVX,IKT,-866.0,True,-248.0,True,U6365
6225,LED,SVX,-200.0,True,227.0,False,U6365
6226,SVX,HTA,-1205.0,True,10.0,False,U6624
6227,LED,SVX,-474.0,True,-200.0,True,SU6401
6228,SVX,LED,-1162.0,True,612.0,False,DP516
6229,SVX,LED,-1626.0,True,517.0,False,DP582
6230,SVX,LED,-378.0,True,1215.0,False,U6174
6231,KHV,SVX,-965.0,True,977.0,False,U6174
6232,VVO,IKT,-1727.0,True,-557.0,True,U6366
6233,SVX,LED,-370.0,True,1366.0,False,SU6402
6234,LED,SIP,-1229.0,True,-701.0,True,5N525
6235,LED,SIP,-394.0,True,-569.0,True,N4129
6236,LED,SIP,-2696.0,True,-2213.0,True,U6511
6237,LED,SIP,-616.0,True,-51.0,True,WZ701
6238,LED,SIP,-371.0,True,176.0,False,SU6891
6239,LED,SIP,-568.0,True,103.0,False,SU6895
6240,SIP,LED,-1774.0,True,302.0,False,5N526
6241,SIP,LED,-794.0,True,1160.0,False,N4130
6242,SIP,LED,-1247.0,True,894.0,False,U6512
6243,SIP,LED,-803.0,True,1580.0,False,WZ702
6244,SIP,LED,-958.0,True,1047.0,False,SU6892
6245,SIP,LED,-562.0,True,1571.0,False,SU6896
6246,AER,ASF,-434.0,True,1080.0,False,UT135
6247,AER,CEK,-859.0,True,45.0,False,DP323
6248,AER,IKT,-845.0,True,-201.0,True,S76368
6249,IKT,AER,-509.0,True,139.0,False,S76367
6250,AER,KLF,-24217.0,True,-22948.0,True,A4523
6251,KLF,AER,-23684.0,True,-23054.0,True,A4524
6252,AER,KZN,-750.0,True,706.0,False,DP337
6253,KZN,AER,-856.0,True,-124.0,True,DP338
6254,KLF,LED,-1372.0,True,1583.0,False,7R294
6255,KVX,KLF,-1500.0,True,-991.0,True,7R294
6256,AER,KRR,-1286.0,True,444.0,False,UT298
6257,AER,KRR,-807.0,True,636.0,False,UT378
6258,KRR,AER,-539.0,True,228.0,False,UT293
6259,KRR,AER,-1016.0,True,-500.0,True,UT297
6260,AER,KJA,-1345.0,True,-983.0,True,DP309
6261,AER,MRV,-600.0,True,-280.0,True,UT321
6262,MRV,AER,-1860.0,True,-2169.0,True,UT322
6263,AER,DME,-77.0,True,1339.0,False,6R534
6264,AER,DME,10438.0,False,87406.0,False,RL708
6265,AER,DME,-888.0,True,230.0,False,U6278
6266,AER,DME,-587.0,True,753.0,False,U6280
6267,AER,DME,-455.0,True,867.0,False,U6378
6268,AER,DME,-1270.0,True,85.0,False,U6408
6269,AER,DME,-3641.0,True,-2371.0,True,U6448
6270,AER,DME,-52.0,True,1239.0,False,WZ126
6271,AER,DME,-272.0,True,1245.0,False,S72042
6272,AER,DME,-944.0,True,529.0,False,S72044
6273,AER,DME,-20.0,True,1957.0,False,S72046
6274,AER,DME,-2097.0,True,-193.0,True,S72048
6275,AER,DME,-2072.0,True,-227.0,True,S72050
6276,AER,DME,-4.0,True,1857.0,False,S72052
6277,AER,DME,-852.0,True,1098.0,False,S72054
6278,AER,DME,-824.0,True,1081.0,False,S72056
6279,AER,DME,-104.0,True,2473.0,False,Y71032
6280,DME,AER,31.0,False,708.0,False,6R533
6281,DME,AER,-1016.0,True,-602.0,True,RL707
6282,DME,AER,-790.0,True,-427.0,True,U6277
6283,DME,AER,-1179.0,True,-604.0,True,U6279
6284,DME,AER,-371.0,True,243.0,False,U6377
6285,DME,AER,-365.0,True,402.0,False,U6407
6286,DME,AER,-3317.0,True,-2779.0,True,U6447
6287,DME,AER,-351.0,True,759.0,False,WZ125
6288,DME,AER,-399.0,True,691.0,False,S72041
6289,DME,AER,-770.0,True,366.0,False,S72043
6290,DME,AER,-578.0,True,652.0,False,S72045
6291,DME,AER,-1565.0,True,-306.0,True,S72047
6292,DME,AER,-2021.0,True,-782.0,True,S72049
6293,DME,AER,-423.0,True,705.0,False,S72051
6294,DME,AER,-631.0,True,518.0,False,S72053
6295,DME,AER,-1137.0,True,21.0,False,S72055
6296,DME,AER,-1051.0,True,1106.0,False,Y71031
6297,AER,SVO,-1160.0,True,524.0,False,N4226
6298,AER,SVO,-451.0,True,1873.0,False,SU1117
6299,AER,SVO,-360.0,True,1142.0,False,SU1119
6300,AER,SVO,-369.0,True,2272.0,False,SU1123
6301,AER,SVO,-395.0,True,1521.0,False,SU1125
6302,AER,SVO,-480.0,True,2534.0,False,SU1131
6303,AER,SVO,-399.0,True,2127.0,False,SU1133
6304,AER,SVO,-465.0,True,1721.0,False,SU1135
6305,AER,SVO,13.0,False,2570.0,False,SU1137
6306,AER,SVO,-81.0,True,2161.0,False,SU1139
6307,SVO,AER,-662.0,True,222.0,False,N4225
6308,SVO,AER,-1000.0,True,-310.0,True,SU1116
6309,SVO,AER,-627.0,True,393.0,False,SU1118
6310,SVO,AER,-747.0,True,566.0,False,SU1122
6311,SVO,AER,-1013.0,True,51.0,False,SU1124
6312,SVO,AER,-822.0,True,461.0,False,SU1130
6313,SVO,AER,-651.0,True,492.0,False,SU1132
6314,SVO,AER,-783.0,True,688.0,False,SU1134
6315,SVO,AER,-297.0,True,1546.0,False,SU1136
6316,SVO,AER,-268.0,True,518.0,False,SU1138
6317,AER,VKO,-761.0,True,-128.0,True,DP112
6318,AER,VKO,-442.0,True,1015.0,False,DP114
6319,AER,VKO,-1377.0,True,-169.0,True,DP116
6320,AER,VKO,-944.0,True,281.0,False,DP118
6321,AER,VKO,-774.0,True,747.0,False,DP120
6322,VKO,YKS,-11740.0,True,-33337.0,True,R3474
6323,AER,VKO,-2136.0,True,-11244.0,True,R3474
6324,AER,VKO,-174.0,True,2004.0,False,UT250
6325,AER,VKO,-628.0,True,1285.0,False,UT268
6326,AER,VKO,-151.0,True,1318.0,False,UT580
6327,AER,VKO,-744.0,True,1081.0,False,ZF302
6328,VKO,AER,-1045.0,True,-358.0,True,DP111
6329,VKO,AER,-548.0,True,420.0,False,DP113
