,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list
0,TIA,CRL,-1039.0,True,-273.0,True
1,CRL,TIA,-1988.0,True,-214.0,True
2,TIA,BVA,-1432.0,True,-509.0,True
3,BVA,TIA,-1123.0,True,989.0,False
4,TIA,SXF,-10518.0,True,-8605.0,True
5,SXF,TIA,-10013.0,True,-8349.0,True
6,TIA,DTM,-225.0,True,778.0,False
7,DTM,TIA,-709.0,True,1175.0,False
8,TIA,FKB,-5480.0,True,-4399.0,True
9,FKB,TIA,-6729.0,True,-4984.0,True
10,TIA,ATH,-257.0,True,815.0,False
11,ATH,TIA,-472.0,True,1308.0,False
12,TIA,BUD,164.0,False,1373.0,False
13,BUD,TIA,-983.0,True,-117.0,True
14,TIA,BRI,-2245.0,True,-1099.0,True
15,TIA,BRI,-528.0,True,1563.0,False
16,BRI,TIA,-2296.0,True,-1133.0,True
17,BRI,TIA,404.0,False,1818.0,False
18,TIA,BLQ,-888.0,True,721.0,False
19,TIA,BLQ,-901.0,True,267.0,False
20,BLQ,TIA,-1024.0,True,360.0,False
21,BLQ,TIA,128.0,False,2269.0,False
22,TIA,GOA,-162.0,True,1102.0,False
23,GOA,TIA,-68.0,True,1589.0,False
24,TIA,BGY,-681.0,True,516.0,False
25,TIA,BGY,172.0,False,1288.0,False
26,BGY,TIA,-1367.0,True,-104.0,True
27,BGY,TIA,177.0,False,1378.0,False
28,TIA,MXP,-441.0,True,1321.0,False
29,TIA,MXP,-152.0,True,1504.0,False
30,TIA,MXP,-325.0,True,1232.0,False
31,MXP,TIA,-987.0,True,1084.0,False
32,MXP,TIA,-1949.0,True,-307.0,True
33,MXP,TIA,-1158.0,True,1262.0,False
34,TIA,FCO,-721.0,True,1106.0,False
35,TIA,FCO,-250.0,True,983.0,False
36,FCO,TIA,-737.0,True,1159.0,False
37,FCO,TIA,-1541.0,True,436.0,False
38,FCO,TIA,-865.0,True,590.0,False
39,VCE,TIA,-1752.0,True,-583.0,True
40,TIA,VCE,-475.0,True,858.0,False
41,VCE,TIA,-2134.0,True,-496.0,True
42,VCE,TIA,-1752.0,True,-583.0,True
43,TIA,VRN,-510.0,True,893.0,False
44,VRN,TIA,-476.0,True,861.0,False
45,TIA,BEG,-593.0,True,596.0,False
46,TIA,IST,-250.0,True,2091.0,False
47,TIA,SAW,163.0,False,2127.0,False
48,SAW,TIA,-650.0,True,912.0,False
49,TIA,KBP,-7999.0,True,-48320.0,True
50,KBP,TIA,-1989.0,True,-714.0,True
51,TIA,LTN,-815.0,True,96.0,False
52,EVN,MSQ,-1810.0,True,-1005.0,True
53,MSQ,EVN,-1526.0,True,462.0,False
54,DME,EVN,-2519.0,True,-1272.0,True
55,GRZ,VIE,-159.0,True,287.0,False
56,GRZ,VIE,536.0,False,1309.0,False
57,VIE,GRZ,132.0,False,422.0,False
58,GRZ,FRA,447.0,False,1082.0,False
59,FRA,GRZ,-234.0,True,739.0,False
60,INN,VIE,60.0,False,1016.0,False
61,INN,VIE,-393.0,True,47.0,False
62,VIE,INN,-134.0,True,73.0,False
63,VIE,INN,-312.0,True,136.0,False
64,INN,AMS,440.0,False,1623.0,False
65,AMS,INN,-513.0,True,653.0,False
66,SZG,LCA,-1059.0,True,1165.0,False
67,LCA,SZG,-309.0,True,571.0,False
68,SZG,DUS,-71.0,True,1238.0,False
69,DUS,SZG,-515.0,True,1237.0,False
70,SZG,FRA,-661.0,True,27.0,False
71,FRA,SZG,-1444.0,True,-306.0,True
72,SZG,KGS,-882.0,True,599.0,False
73,KGS,SZG,-2026.0,True,-809.0,True
74,SZG,LUX,361.0,False,909.0,False
75,LUX,SZG,-135.0,True,687.0,False
76,SZG,PMI,1.0,False,1092.0,False
77,PMI,SZG,-876.0,True,913.0,False
78,VIE,GRZ,132.0,False,422.0,False
79,GRZ,VIE,-159.0,True,287.0,False
80,GRZ,VIE,536.0,False,1309.0,False
81,VIE,INN,-134.0,True,73.0,False
82,VIE,INN,-312.0,True,136.0,False
83,INN,VIE,60.0,False,1016.0,False
84,INN,VIE,-393.0,True,47.0,False
85,VIE,ISL,-2590.0,True,3118.0,False
86,MSQ,VIE,-220.0,True,-2287.0,True
87,VIE,BRU,-3108.0,True,-3739.0,True
88,VIE,BRU,-284.0,True,283.0,False
89,VIE,BRU,-627.0,True,386.0,False
